year,total
2017,4323.99037121
2018,4372.37722333
2019,4420.90712345
2020,4469.59283938
2021,4517.01677071
2022,4563.98710546
2023,4611.53345992
2024,4659.68080431
2025,4708.46081774
2026,4757.9031157
2027,4807.69737551
2028,4858.23686874
2029,4909.57543286
2030,4961.7675146
2031,5014.84433032
2032,5068.87471011
2033,5121.69649263
2034,5173.44196217
2035,5224.2239835
2036,5274.13913677
