year,total
2017,245284.026173
2018,247895.517107
2019,250498.392011
2020,253094.062179
2021,255595.427355
2022,258036.502393
2023,260436.187805
2024,262798.57333
2025,265127.483267
2026,267426.386228
2027,269657.116904
2028,271828.961131
2029,273948.262592
2030,276020.761328
2031,278050.788504
2032,280022.21201
2033,281898.382929
2034,283688.300073
2035,285399.863762
2036,287039.817899
