age,men,women,total
0,1903.31589815,1903.31589815,3806.6317963
1,1889.776246,1891.45239006,3781.22863606
2,1890.952974,1892.70589121,3783.65886521
3,1871.90087384,1873.71109915,3745.61197299
4,1860.96346534,1862.83764798,3723.80111332
5,1849.62144014,1851.55828327,3701.17972341
6,1838.56652923,1840.56542832,3679.13195756
7,1827.51954656,1829.57962802,3657.09917457
8,1818.94801875,1821.07129023,3640.01930898
9,1808.08038696,1810.26339252,3618.34377947
10,1797.23379155,1799.47568974,3596.70948129
11,1786.35464396,1788.69030778,3575.04495174
12,1775.49720833,1777.92536647,3553.42257479
13,1772.88467659,1775.41580172,3548.30047831
14,1802.01785712,1804.69887241,3606.71672953
15,1787.76720784,1790.53446834,3578.30167618
16,1772.81942592,1776.16760903,3548.98703495
17,1757.91377442,1761.83299141,3519.74676583
18,2161.90274378,2347.98938032,4509.8921241
19,2139.91876328,2216.6516476,4356.57041088
20,2155.51263187,2231.58498313,4387.09761501
21,2154.28359638,2231.54033894,4385.82393532
22,2153.05526166,2231.49569563,4384.55095729
23,2151.82762732,2231.45105321,4383.27868054
24,2023.68381394,2143.97481464,4167.65862859
25,2022.22651386,2143.61029154,4165.83680539
26,2020.50732906,2143.18151374,4163.6888428
27,2018.78960582,2142.7528217,4161.54242752
28,2017.07334289,2142.32421542,4159.39755831
29,1970.13472831,2140.62979907,4110.76452738
30,1968.51889467,2140.22302246,4108.74191713
31,1966.39246898,2139.40962383,4105.80209281
32,1964.26834029,2138.59653434,4102.86487463
33,1530.46992192,1596.48175839,3126.95168031
34,1769.97199349,1822.3741248,3592.34611829
35,1768.78538843,1821.91840822,3590.70379665
36,1766.98012612,1821.15299583,3588.13312195
37,1765.17670631,1820.387905,3585.56461131
38,1763.37512711,1819.62313559,3582.99826269
39,1884.26772419,2001.59228942,3885.86001361
40,1882.87212399,2000.81143417,3883.68355816
41,1880.4222098,1999.13024821,3879.55245802
42,1877.97548334,1997.45047487,3875.42595822
43,1875.53194046,1995.77211296,3871.30405343
44,1837.48147099,2008.17112715,3845.65259814
45,1835.32942258,2006.54397157,3841.87339415
46,1831.3059472,2003.93460332,3835.24055052
47,1827.29129223,2001.32862836,3828.61992059
48,1870.52547007,2028.0809305,3898.60640057
49,1662.05855124,1768.95046926,3431.00902049
50,1658.84666702,1766.98591267,3425.83257969
51,1652.91699444,1763.36170696,3416.2787014
52,1647.00851792,1759.74493474,3406.75345266
53,1641.12116169,1756.13558076,3397.25674245
54,1482.22773697,1528.42686815,3010.65460512
55,1477.44717133,1525.5514416,3002.99861293
56,1468.84918855,1520.04039827,2988.88958683
57,1460.30124162,1514.54926355,2974.85050517
58,1451.80303933,1509.07796551,2960.88100485
59,1389.64002684,1526.6881876,2916.32821444
60,1382.32840424,1521.85834691,2904.18675115
61,1370.0263866,1513.06720234,2883.09358894
62,1357.83385063,1504.32684057,2862.1606912
63,1345.74982201,1495.63696825,2841.38679026
64,1589.05289486,1591.22187744,3180.2747723
65,1576.52271723,1582.80650888,3159.32922611
66,1550.58448294,1567.34894959,3117.93343253
67,1525.07300558,1552.04234758,3077.11535315
68,1499.98126379,1536.88522858,3036.86649238
69,1255.28080793,1472.03490426,2727.3157122
70,1236.66256473,1459.03286151,2695.69542624
71,1204.43962316,1435.43802271,2639.87764587
72,1173.05629459,1412.22474929,2585.28104388
73,1142.49070174,1389.38687074,2531.87757248
74,926.583617245,1185.77969531,2112.36331256
75,904.795048668,1168.63072714,2073.4257758
76,865.305525104,1137.54000909,2002.84553419
77,827.539510609,1107.2764409,1934.81595151
78,791.421783117,1077.81801676,1869.23979988
79,547.815949436,790.740588315,1338.55653775
80,525.829747144,771.726314434,1297.55606158
81,461.672913707,697.117322853,1158.79023656
82,405.343897732,629.72138274,1035.06528047
83,326.498154395,396.588498417,723.086652811
84,198.615744824,250.453104843,449.068849667
85,175.901521597,227.262721058,403.164242655
86,155.784957167,206.219621095,362.004578262
87,137.968976387,187.124979964,325.09395635
88,122.190478409,169.79838262,291.988861029
89,65.6630013766,102.914189532,168.577190909
90,58.8238111113,94.081586819,152.90539793
91,52.6969629945,86.0070415811,138.704004576
92,47.2082623752,78.6254935918,125.833755967
93,42.291242414,71.8774664132,114.168708827
94,21.5179807031,42.3399506938,63.8579313969
95,19.6825008481,39.1889507624,58.8714516105
96,18.0035870922,36.2724527707,54.2760398629
97,16.4678843754,33.5730047477,50.0408891232
98,15.0631768221,31.0744535231,46.1376303452
99,2.53190809594,8.19328609667,10.7251941926
