age,men,women,total
0,1887.90060644,1887.90060644,3775.80121289
1,1862.75113425,1864.40330829,3727.15444254
2,1851.39821374,1853.1144636,3704.51267734
3,1840.05658648,1841.83601671,3681.89260319
4,1828.72625409,1830.56797052,3659.29422461
5,1819.87599774,1821.78169273,3641.65769046
6,1809.00282156,1810.96957884,3619.9724004
7,1798.15069251,1800.17766777,3598.32836028
8,1787.31962338,1789.4059748,3576.72559817
9,1776.50962696,1778.65451522,3555.16414218
10,1773.94883303,1776.16168519,3550.11051823
11,1803.09950046,1805.45705822,3608.55655868
12,1788.84029737,1791.28670343,3580.1270008
13,1774.61127936,1777.14486954,3551.7561489
14,1760.41247567,1763.0315911,3523.44406678
15,2165.86385738,2349.89227919,4515.75613657
16,2143.83959706,2218.44810543,4362.28770249
17,2159.46203728,2233.39354351,4392.85558079
18,2158.83559283,2233.4158837,4392.25147653
19,2158.2093301,2233.43822411,4391.64755421
20,2157.58324905,2233.46056475,4391.0438138
21,2029.09668177,2145.9055503,4175.00223207
22,2027.63548376,2145.54069893,4173.17618269
23,2026.17533798,2145.17590959,4171.35124757
24,2024.7162437,2144.81118227,4169.52742596
25,2023.25820013,2144.44651696,4167.70471709
26,1976.17565989,2142.75042203,4118.92608192
27,1974.55487169,2142.34324244,4116.89811413
28,1972.9354128,2141.93614023,4114.87155304
29,1971.31728214,2141.52911538,4112.84639752
30,1536.36200371,1598.97486231,3135.33686602
31,1776.78612267,1825.21998762,3602.00611029
32,1775.59494936,1824.76355938,3600.35850874
33,1774.40457461,1824.30724529,3598.7118199
34,1773.2149979,1823.8510453,3597.06604321
35,1772.0262187,1823.3949594,3595.4211781
36,1893.51191303,2005.74130979,3899.25322282
37,1892.10946603,2004.95883594,3897.06830197
38,1890.70805778,2004.17666734,3894.88472512
39,1889.30768748,2003.39480388,3892.70249137
40,1887.90835439,2002.61324544,3890.52159983
41,1849.60679436,2015.05476112,3864.66155548
42,1847.44054483,2013.42202796,3860.8625728
43,1845.27683241,2011.79061775,3857.06745016
44,1843.11565411,2010.16052943,3853.27618354
45,1888.65489653,2038.03066474,3926.68556127
46,1678.16748359,1777.62891339,3455.79639699
47,1674.92446929,1775.65471872,3450.57918801
48,1671.68772203,1773.68271654,3445.37043857
49,1668.4572297,1771.71290442,3440.17013412
50,1665.2329802,1769.74527993,3434.97826014
51,1504.00504812,1540.27187039,3044.27691852
52,1499.15424506,1537.37415986,3036.52840492
53,1494.31908708,1534.48190078,3028.80098786
54,1489.49952373,1531.5950829,3021.09460663
55,1484.69550472,1528.71369599,3013.4092007
56,1421.12410921,1546.55305771,2967.67716692
57,1413.6468324,1541.66037239,2955.30720479
58,1406.20889746,1536.78316559,2942.99206305
59,1398.81009737,1531.92138836,2930.73148574
60,1391.45022624,1527.07499189,2918.52521813
61,1643.01564369,1624.66907891,3267.6847226
62,1630.05995296,1616.07682079,3246.13677375
63,1617.2064219,1607.53000386,3224.73642576
64,1604.45424493,1599.02838781,3203.48263274
65,1591.80262286,1590.57173357,3182.37435644
66,1332.12282762,1523.45605645,2855.57888407
67,1312.36486858,1509.99982608,2822.36469466
68,1292.89995831,1496.66245056,2789.56240886
69,1273.72375031,1483.44288007,2757.16663038
70,1254.83196259,1470.34007409,2725.17203668
71,1017.6947061,1254.86964198,2272.56434807
72,993.763664708,1236.72148205,2230.48514675
73,970.395360591,1218.8357842,2189.23114479
74,947.576561006,1201.20875267,2148.78531368
75,925.29434438,1183.83664658,2109.13099096
76,640.48148609,868.521097097,1509.00258319
77,614.776218596,847.636500737,1462.41271933
78,590.102613673,827.254098702,1417.35671237
79,566.419266281,807.361815146,1373.78108143
80,498.78839832,549.346790832,1048.13518915
81,303.423550512,346.922843069,650.346393581
82,268.723228718,314.799967693,583.523196411
83,237.991327736,285.651468732,523.642796468
84,210.774008439,259.20193762,469.975946059
85,186.669333946,235.201466894,421.87080084
86,100.312797621,142.554763883,242.867561504
87,89.8646259783,130.320011805,220.184637783
88,80.5046932566,119.13530642,199.639999677
89,72.1196529312,108.910527548,181.03018048
90,64.6079641883,99.5632895681,164.171253756
91,32.8728324663,58.6484886236,91.5213210899
92,30.0687858134,54.2837838801,84.3525696935
93,27.5039238319,50.2439067314,77.7478305633
94,25.1578441127,46.5046830415,71.6625271541
95,23.0118845684,43.0437377481,66.0556223165
96,3.8679740356,11.3491829479,15.2171569835
97,3.8679740356,11.3491829479,15.2171569835
98,3.8679740356,11.3491829479,15.2171569835
99,3.8679740356,11.3491829479,15.2171569835
