age,men,women,total
0,1855.78413583,1855.78413583,3711.56827165
1,1830.48295546,1832.10650912,3662.58946458
2,1821.62419742,1823.31284671,3644.93704414
3,1810.46891905,1812.21973647,3622.68865552
4,1799.33800785,1801.15012728,3600.48813513
5,1788.2314664,1790.10402461,3578.33549101
6,1777.41595501,1779.34837087,3556.76432588
7,1774.85385463,1776.85456839,3551.70842302
8,1804.07352536,1806.17943373,3610.25295908
9,1789.86032446,1792.02133183,3581.88165629
10,1775.67647218,1777.89147942,3553.5679516
11,1761.4691458,1763.77227175,3525.24141755
12,2167.16389568,2350.87951036,4518.04340603
13,2146.00645417,2219.66871192,4365.67516609
14,2162.53149984,2234.91295245,4397.44445229
15,2162.79108669,2235.2259279,4398.01701458
16,2162.1636765,2235.24828642,4397.41196292
17,2161.53644832,2235.27064516,4396.80709348
18,2033.38415855,2147.70912151,4181.09328006
19,2032.4893174,2147.40840314,4179.89772054
20,2031.59487004,2147.10772688,4178.70259692
21,2030.13187302,2146.74267111,4176.87454413
22,2028.66992955,2146.3776774,4175.04760695
23,1981.71930782,2144.74441671,4126.46372454
24,1980.35164797,2144.40120956,4124.75285753
25,1978.98493199,2144.05805732,4123.04298931
26,1977.36183973,2143.65062925,4121.01246898
27,1541.07287836,1600.55889277,3141.63177112
28,1782.69817328,1827.37546461,3610.07363789
29,1781.96682091,1827.26579247,3609.23261338
30,1781.23576857,1827.15612692,3608.39189548
31,1780.04161217,1826.69921452,3606.74082668
32,1778.84825634,1826.24241638,3605.09067272
33,1901.4680193,2009.21526748,3910.68328677
34,1900.72578618,2008.77310747,3909.49889365
35,1899.98384279,2008.33104477,3908.31488756
36,1898.57660231,2007.54756061,3906.12416292
37,1897.1704041,2006.76438211,3903.93478622
38,1859.72408302,2020.14137862,3879.86546163
39,1858.58849302,2019.41388765,3878.00238067
40,1857.45359645,2018.68665866,3876.14025511
41,1855.27815679,2017.0509827,3872.32913949
42,1901.11790729,2045.01665161,3946.1345589
43,1690.97008783,1784.59774281,3475.56783064
44,1689.42933288,1783.49071655,3472.92004944
45,1687.88998182,1782.38437701,3470.27435883
46,1684.62817905,1780.40490103,3465.03308008
47,1681.37267962,1778.4276234,3459.80030303
48,1521.08471344,1549.28712839,3070.37184183
49,1518.67747579,1547.82979293,3066.50726872
50,1516.27404779,1546.37382831,3062.6478761
51,1511.38367405,1543.46463817,3054.84831222
52,1506.50907302,1540.56092109,3047.06999411
53,1445.76645312,1561.24644999,3007.01290312
54,1441.91227371,1559.01131952,3000.92359323
55,1438.06836891,1556.77938893,2994.84775784
56,1430.50193949,1551.85435152,2982.35629101
57,1422.97532101,1546.94489499,2969.920216
58,1686.40782354,1650.13430088,3336.54212442
59,1679.25134616,1645.72124902,3324.97259518
60,1672.12523816,1641.31999925,3313.4452374
61,1658.9400092,1632.63968073,3291.57968993
62,1645.85874988,1624.00526913,3269.86401901
63,1389.35840987,1562.5118586,2951.87026847
64,1380.67448352,1555.71308429,2936.3875678
65,1372.04483443,1548.94389268,2920.98872711
66,1351.69475479,1535.2625359,2886.95729068
67,1331.6465062,1521.70202243,2853.34852863
68,1092.43951941,1308.39245148,2400.83197089
69,1079.0448743,1299.08902821,2378.1339025
70,1065.81446392,1289.85175763,2355.66622155
71,1040.75188878,1271.19767978,2311.94956856
72,1016.27865886,1252.81338071,2269.09203957
73,718.266837105,930.591086047,1648.85792315
74,703.951325026,919.54307539,1623.49440042
75,689.921130153,908.626227109,1598.54735726
76,662.231637817,886.777256418,1549.00889424
77,583.160703753,603.382809117,1186.54351287
78,387.830918581,411.685858971,799.516777552
79,375.508339695,403.60305413,779.111393825
80,363.57728697,395.678942458,759.256229428
81,321.997624372,359.041558637,681.039183009
82,285.17312224,325.796566347,610.969688588
83,153.246990781,197.464128107,350.711118888
84,137.285409593,180.516783901,317.802193494
85,122.986321565,165.02394426,288.010265824
86,110.176568194,150.860776436,261.03734463
87,98.7010264604,137.913161444,236.614187904
88,50.2195410093,81.2387629524,131.458303962
89,45.9358232609,75.1928575534,121.128680814
90,42.0175058602,69.5968971162,111.614402976
91,38.4334202238,64.4173960906,102.850816314
92,35.1550564428,59.6233609692,94.778417412
93,5.90907038215,15.7206708109,21.6297411931
94,5.90907038215,15.7206708109,21.6297411931
95,5.90907038215,15.7206708109,21.6297411931
96,5.90907038215,15.7206708109,21.6297411931
97,5.90907038215,15.7206708109,21.6297411931
98,5.90907038215,15.7206708109,21.6297411931
99,5.90907038215,15.7206708109,21.6297411931
