range_min,range_max,men_rate,women_rate
0,0,7.84,6.96
1,4,0.32,0.28
5,9,0.17,0.13
10,14,0.2,0.14
15,19,0.61,0.27
20,24,0.89,0.3
25,29,1.02,0.33
30,34,1.28,0.52
35,39,1.63,0.69
40,44,2.19,1.14
45,49,3.21,1.63
50,54,4.85,2.57
55,59,7.44,4.3
60,64,11.07,6.91
65,69,19.61,11.38
70,74,30.78,18.7
75,79,50.76,30.79
80,100,131.73,102.92
