range_min,range_max,men,women
0 ,4, 8829 ,8501
5 ,9, 10609, 9871
10, 14, 10666, 10413
15, 19, 8769, 8948
20, 24, 8829, 8887
25, 29, 8923, 9215
30, 34, 9103, 9701
35, 39, 8855, 9599
40, 44, 7718, 8061
45, 49, 5942, 6479
50, 54, 5281, 5728
55, 59, 4073, 4500
60, 64, 2986, 3540
65, 69, 2040, 2484
70, 74, 1450, 2020
75, 100, 1455, 2585
