year,total
2017,5910.49889925
2018,5990.14530055
2019,6068.97079322
2020,6147.00096632
2021,6221.91307132
2022,6294.98433626
2023,6365.85039685
2024,6434.58549881
2025,6501.25660158
2026,6565.92527441
2027,6627.92180013
2028,6686.91879106
2029,6743.03346035
2030,6796.37204085
2031,6847.01536044
2032,6894.82960917
2033,6939.62672218
2034,6981.57247755
2035,7020.81962535
2036,7057.49980326
