unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
24,775.689634511,1092.75805742,1356.92297867,1596.12756843,1836.37295951,2065.29116151,2282.92004183,2489.30440715,2684.25503352,2887.03111032,3076.0685756,3250.69246731,3410.31814367,3554.43158196,3699.04459469,3811.24286675,3905.8327226,3982.62656669,4041.56970106,4075.75151639
25,2052.91498013,2949.23111086,3728.57566377,4459.07614836,5244.0248686,6013.43151574,6764.78070024,7495.02162543,8200.73933624,8988.8815481,9744.98754388,10461.036098,11132.6945209,11756.0985005,12431.9285716,13118.1901656,13722.2926336,14242.6315083,14678.0965453,15071.6017567
26,870.968470938,1209.52387361,1480.79598557,1717.65609816,1962.93655869,2186.32454307,2391.65073582,2579.36546264,2750.01886025,2963.62837652,3164.94012236,3346.10722706,3506.78760153,3646.84052723,3844.25852009,3942.61680498,4022.47395636,4083.76797283,4126.60553115,4190.5727008
27,1183.36172321,1658.61226315,2051.08878816,2404.70582235,2753.20250732,3085.60849387,3401.95332495,3702.65462587,3987.76016083,4273.31382311,4543.21225084,4794.12292945,5024.97562223,5234.75158365,5433.43913822,5631.98578971,5805.15677291,5952.1186766,6072.70492447,6136.05832282
28,3096.08521155,4325.22136165,5329.69899064,6225.02205262,7097.16148132,7915.59370055,8682.86509951,9400.92928963,10071.1171759,10767.0637571,11420.5669535,12019.4054148,12562.1321506,13047.50628,13555.1828051,13942.4827,14270.3934212,14537.7082299,14743.1008875,14881.9840602
30,2400.30650186,3365.5095255,4157.65117868,4863.84627714,5632.02968929,6360.36654676,7047.615593,7692.76675516,8294.16587804,9036.16812697,9710.39658308,10325.7625762,10880.39833,11373.1069789,12009.1235294,12332.2924657,12601.3605716,12815.5719513,12974.2321578,13166.1195134
31,3936.14264775,5739.93002795,7353.19795601,8897.87898902,10623.933233,12342.0446067,14042.7265079,15715.4546246,17349.9392698,19207.3479833,21017.1985223,22745.466847,24379.8626309,25909.3961283,27581.8717278,30003.4788,32149.4042161,34017.3821087,35607.5951429,37271.3093441
40,1137.24724039,1582.35516118,1942.66470555,2261.40790561,2544.92504653,2817.83411296,3070.97413488,3305.7757637,3522.84637612,3740.99929402,3923.88496265,4087.65079058,4232.49248859,4358.58443917,4496.64567508,4689.53141044,4848.71621437,4975.13561219,5069.4593653,5209.88635239
41,6040.15836834,8953.55324516,11634.1104306,14254.2979432,17226.3153482,20257.0636475,23300.5471622,26333.5862705,29331.8986324,32656.1866601,35836.5363512,38901.4418698,41827.5269649,44593.3603619,47483.6909437,50581.4576752,53328.436852,55717.9436636,57745.2157517,59397.6912405
42,5680.81518394,8213.03298337,10444.5012578,12559.0486673,14799.6148793,17112.2919961,19403.8251249,21662.5401448,23875.7968825,26252.9975448,28585.6083149,30825.5528395,32957.1807915,34965.956539,37047.7890786,39183.3617873,41073.511349,42712.5185145,44094.2759548,45217.2907162
43,5546.0145358,7950.54157729,10035.8680435,11988.9798911,13976.3789166,15988.594223,17961.2369483,19888.1788213,21760.7997391,23728.7660491,25579.3163801,27339.8874024,29000.2066035,30550.6176904,32127.5227234,33664.3991109,35004.0392276,36143.8450232,37080.7122729,37856.263629
44,3482.34997593,5034.49444175,6402.02764034,7697.64774688,9083.92262003,10464.1826687,11825.2171605,13160.8607492,14463.2825218,15860.7087537,17158.3269331,18393.7930654,19559.5178241,20648.4983785,21778.0538627,22961.2812144,24000.5395491,24893.888387,25640.0750607,26227.9115552
45,1259.07405977,1869.17604587,2432.45340479,2984.82956464,3599.65920753,4201.66442211,4802.83900435,5399.24824773,5986.37753967,6634.50508241,7235.43622542,7811.9267073,8359.9113465,8875.64587112,9406.97917557,9919.27517257,10365.3913513,10744.923275,11058.2256729,11307.4280169
46,225.0912877,334.970641553,435.730958375,533.339688701,664.140686669,796.169623977,927.499018692,1056.62663996,1182.25996083,1354.83674562,1520.46862602,1677.21137438,1823.86381685,1959.46122697,2143.91507479,2607.76410268,3020.84120874,3383.15511708,3695.27134732,4102.9388747
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1508.59491855,2201.92560616,2824.64993462,3423.88654255,4072.81896641,4667.90929047,5251.78100406,5822.37921891,6375.87963721,6970.97515487,7451.09983291,7900.60135637,8317.53533082,8700.10552273,9077.79077161,9500.98988507,9861.12750871,10158.799287,10396.0006888,10610.6367958
50,297.346347909,434.481847557,557.969447908,677.057769958,801.711066978,931.9491651,1062.34980086,1192.2057526,1320.7200552,1453.14437276,1582.89751679,1708.60335114,1829.34006043,1944.22273645,2050.52199587,2107.86245132,2157.3135885,2198.61588395,2231.40414562,2237.94270917
51,667.203258026,956.510773155,1207.79202293,1443.66778939,1687.2819483,1917.94153193,2142.49222903,2360.5336994,2570.95594428,2791.08408693,2971.10977165,3139.25956715,3294.88381753,3437.36357367,3577.36829334,3775.80218004,3948.75601309,4095.97602968,4217.58286389,4345.9996587
52,1116.51632637,1618.08508099,2062.44479701,2485.44179538,2930.6003075,3363.9696018,3790.29528491,4207.88451499,4614.74653733,5048.37944385,5469.86472255,5873.12658542,6255.47202017,6614.38703093,6985.61663453,7314.72699546,7602.94538134,7849.22997419,8052.91133162,8182.68966653
53,1011.78910051,1429.49835562,1779.69873757,2098.34757663,2420.75008038,2767.72199226,3105.86291358,3434.10601953,3751.1408376,4096.70831895,4426.62638298,4738.34939865,5030.19022624,5300.63692037,5596.5569859,6054.16776355,6457.48763306,6806.41634167,7100.43900625,7446.83611822
54,364.083890864,512.648306101,636.17099296,747.705956592,865.642007505,989.313556337,1109.10080048,1224.51561945,1335.01661073,1466.03620977,1590.59283929,1707.58848427,1816.2964303,1916.10146687,2044.92282672,2374.82255325,2671.52422754,2934.28234994,3162.54319988,3449.31697463
55,1427.43245948,2091.84313507,2692.91884661,3274.33971651,3904.93394894,4559.25852688,5216.66781586,5873.1585782,6524.20429852,7202.03410821,7855.30921526,8488.51626214,9096.97668643,9676.22089292,10218.0555178,10554.9417635,10852.7687564,11109.7108739,11323.6323751,11369.2242649
