age,men,women,total
0,25.2036523926,25.2036523926,50.4073047851
1,25.5311903345,25.5538353187,51.0850256532
2,26.0020238609,26.0261277894,52.0281516503
3,26.4730599213,26.4986607444,52.9717206658
4,26.9442985597,26.9714342546,53.9157328143
5,27.4157398202,27.4444483905,54.8601882107
6,27.6928363458,27.7229441415,55.4157804874
7,28.4750050946,28.5071037006,56.9821087952
8,28.5811308196,28.614493785,57.1956246045
9,28.6876552905,28.7222916437,57.4099469342
10,28.7945789483,28.8304977668,57.6250767151
11,18.8458737042,20.7061284127,39.5520021169
12,18.6618864795,19.5504470477,38.2123335273
13,18.8055899272,19.6847156058,38.490305533
14,18.8078473204,19.6874722378,38.4953195582
15,18.8101049845,19.6902292559,38.5003342404
16,18.804648308,19.6904262133,38.4950745213
17,17.6897660024,18.9190996072,36.6088656096
18,17.681981182,18.9164505889,36.5984317709
19,17.6741997874,18.9138019415,36.5880017289
20,17.6664218172,18.9111536649,36.5775754822
21,17.6536998308,18.9079383508,36.5616381816
22,17.2451305655,18.8935505789,36.1386811443
23,17.2332290451,18.8905271875,36.1237562326
24,17.2213357384,18.88750428,36.1088400183
25,17.2094506397,18.8844818561,36.0939324958
26,25.9640733567,27.5552555197,53.5193288765
27,30.0349884772,31.4601343852,61.4951228624
28,30.0226666156,31.4582462673,61.480912883
29,30.0103498091,31.4563582628,61.4667080719
30,29.9980380555,31.4544703716,61.452508427
31,29.9779271023,31.4466046302,61.4245317325
32,32.0443688587,34.597267902,66.6416367606
33,32.0318604223,34.5896542189,66.6215146412
34,32.0193568686,34.5820422114,66.60139908
35,32.0068581956,34.574431879,66.5812900746
36,31.983152022,34.5609438041,66.5440958262
37,31.3518690453,34.7913254217,66.1431944671
38,31.3327248782,34.77879641,66.1115212882
39,31.3135924009,34.7662719102,66.0798643111
40,31.2944716063,34.7537519207,66.048223527
41,27.4761168164,30.0354702671,57.5115870835
42,24.4389322136,26.2106581873,50.6495904009
43,24.4166642823,26.1943991246,50.6110634069
44,24.3944166409,26.1781501476,50.5725667885
45,24.3721892707,26.1619112503,50.534100521
46,24.3250906592,26.1328564203,50.4579470795
47,22.0061405797,22.7657834074,44.7719239871
48,21.9713141104,22.7443687949,44.7156829053
49,21.9365427568,22.7229743261,44.6595170829
50,21.9018264316,22.7015999819,44.6034264135
51,21.8311874089,22.6588915051,44.490078914
52,20.9509514101,22.9631385808,43.9140899909
53,20.8950995638,22.9302638154,43.8253633792
54,20.8393966095,22.8974361146,43.7368327241
55,20.7838421502,22.8646554109,43.6484975612
56,20.6744874922,22.7923206382,43.4668081304
57,24.5019129565,24.3126889675,48.8146019239
58,24.397936099,24.2476681039,48.6456042029
59,24.2944004799,24.1828211295,48.4772216094
60,24.1913042269,24.1181475792,48.3094518061
61,24.000548249,23.9905958507,47.9911440997
62,20.2601611794,23.0821852762,43.3423464556
63,20.1335288099,22.9817504747,43.1152792846
64,20.0076879324,22.8817526833,42.8894406157
65,19.8826336,22.7821900006,42.6648236005
66,19.5877356731,22.5809617501,42.1686974231
67,16.069141807,19.4156013894,35.4847431964
68,15.8721144678,19.2775452903,35.1496597582
69,15.6775029249,19.1404708496,34.8179737745
70,15.4852775576,19.004371087,34.4896486446
71,15.1211420109,18.7295263108,33.8506683217
72,10.6870441004,13.9123116812,24.5993557816
73,10.4740445563,13.7471442193,24.2211887756
74,10.2652902276,13.5839376314,23.8492278591
75,10.0606965047,13.422668638,23.4833651427
76,10.4982089676,10.9036050507,21.4018140183
77,6.98183193956,7.43948939769,14.4213213372
78,6.7599977053,7.29342671515,14.0534244205
79,6.54521182569,7.15023174384,13.6954435695
80,6.33725035283,7.00984818074,13.3470985336
81,5.61250559864,6.36078028563,11.9732858843
82,3.01606121565,3.85524607353,6.87130728918
83,2.70192058739,3.5243698641,6.22629045149
84,2.42049956503,3.2218910809,5.64239064592
85,2.16839020792,2.94537251692,5.11376272484
86,1.94253953265,2.69258613826,4.63512567091
87,0.988373142819,1.58608768536,2.57446082818
88,0.904065092828,1.46804876217,2.372113855
89,0.826948504224,1.35879446515,2.18574296937
90,0.756409946655,1.2576710298,2.01408097646
91,0.691888315265,1.16407334573,1.855961661
92,0.116296691434,0.306926908691,0.423223600125
93,0.116296691434,0.306926908691,0.423223600125
94,0.116296691434,0.306926908691,0.423223600125
95,0.116296691434,0.306926908691,0.423223600125
96,0.116296691434,0.306926908691,0.423223600125
97,0.116296691434,0.306926908691,0.423223600125
98,0.116296691434,0.306926908691,0.423223600125
99,0.116296691434,0.306926908691,0.423223600125
