year,total
2017,3386.82199946
2018,3433.62943289
2019,3479.52512084
2020,3524.52685899
2021,3567.2665649
2022,3608.42220352
2023,3647.63913596
2024,3684.97107652
2025,3720.46522388
2026,3754.16477659
2027,3785.57908013
2028,3814.53045081
2029,3841.10023379
2030,3865.36155347
2031,3887.3735604
2032,3906.96129391
2033,3924.61630963
2034,3940.43172719
2035,3954.49523998
2036,3966.88188573
