year,total
2017,2500.43902255
2018,2528.35840946
2019,2556.36249028
2020,2584.45865921
2021,2611.8283457
2022,2638.9374863
2023,2666.385326
2024,2694.18631453
2025,2722.35880218
2026,2750.91994178
2027,2779.68999161
2028,2808.89865805
2029,2838.57710674
2030,2868.75686195
2031,2899.45599151
2032,2930.71392264
2033,2961.27598393
2034,2991.21879559
2035,3020.60770537
2036,3049.49862901
