unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
43,5228.11829933,5280.61851134,5333.51432178,5386.83065528,5438.89090185,5490.51701432,5542.88937651,5596.06097666,5650.08985314,5705.0298342,5760.36062824,5816.48352834,5873.5013704,5931.51293949,5990.58564239,6050.6178365,6108.09514667,6163.41089276,6216.90309889,6268.58330014
44,3406.66210399,3440.78176952,3475.15948081,3509.81155359,3543.64642724,3577.19645151,3611.23341315,3645.79209529,3680.91054268,3716.62402524,3752.59100287,3789.07618033,3826.14685146,3863.86762478,3902.28262152,3941.32331179,3978.70771274,4014.69118678,4049.49317355,4083.11775839
45,7145.78769575,7217.40457982,7289.56226221,7362.29496322,7433.31188359,7503.73077725,7575.16700281,7647.69354313,7721.39019736,7796.33094436,7871.79940968,7948.34869861,8026.11997401,8105.24875125,8185.82758435,8267.71285991,8346.12177843,8421.58988491,8494.57740623,8565.09286219
46,4482.94262987,4527.84330141,4573.08164414,4618.67913922,4663.19936164,4707.34261019,4752.12403248,4797.58943407,4843.78890568,4890.76888385,4938.07959884,4986.06947612,5034.82711034,5084.43755773,5134.95891923,5186.30069792,5235.4622732,5282.779638,5328.54152703,5372.75307521
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2996.37072579,3026.37870433,3056.61582027,3087.09641117,3116.86042234,3146.37635908,3176.3237082,3206.73302105,3237.63772721,3269.06881906,3300.72629655,3332.84292603,3365.4778461,3398.68784017,3432.51166663,3466.88943658,3499.81108328,3531.50128588,3562.15310852,3591.77047236
49,3584.51463624,3620.42854316,3656.60739331,3693.06835697,3728.66332329,3763.95236039,3799.74733267,3836.08480913,3873.0048011,3910.54440674,3948.34435207,3986.68355032,4025.63280022,4065.26009353,4105.61189274,4146.61603131,4185.87248096,4223.65032486,4260.18081496,4295.46919047
50,4156.31154548,4197.90935555,4239.81764359,4282.05632915,4323.29474632,4364.18128413,4405.65980416,4447.77274224,4490.56653195,4534.08422185,4577.90884033,4622.36527119,4667.53564254,4713.49882218,4760.30868929,4807.88122015,4853.43181821,4897.27225582,4939.67044868,4980.63163893
51,2170.02625601,2191.7947488,2213.72730511,2235.83430251,2257.41983814,2278.82402845,2300.53671887,2322.58002484,2344.97813604,2367.75348075,2390.68899399,2413.95191361,2437.5850537,2461.6295215,2486.11338667,2510.99348182,2534.81607797,2557.74398499,2579.91712098,2601.33873687
52,3750.79039854,3788.43700018,3826.36138149,3864.58150158,3901.8942839,3938.88742207,3976.40548605,4014.4867693,4053.17313119,4092.50338286,4132.10169767,4172.25678431,4213.04272913,4254.53065873,4296.76918555,4339.68306524,4380.76586164,4420.29895646,4458.52419423,4495.44692206
53,1822.44733461,1840.682743,1859.05567231,1877.57486156,1895.65669124,1913.58535711,1931.77457119,1950.24296917,1969.01093235,1988.09735398,2007.31919208,2026.81882274,2046.63228182,2066.79416644,2087.3281091,2108.19711898,2128.18102861,2147.41637683,2166.02049148,2183.99519997
54,5523.26960207,5578.66586227,5634.48209756,5690.7446958,5745.68286872,5800.16261896,5855.43271919,5911.5493556,5968.57402197,6026.5637383,6084.96688975,6144.20957609,6204.40066049,6265.64468491,6328.01300338,6391.39650455,6452.088588,6510.50394832,6566.99895804,6621.58290321
55,5181.61112088,5233.63682467,5286.05444058,5338.88873401,5390.47702773,5441.63274492,5493.52264994,5546.19952843,5599.72110472,5654.14090177,5708.94102053,5764.51874827,5820.97627864,5878.41172471,5936.89208148,5996.31473181,6053.20984501,6107.96622119,6160.91800872,6212.07339322
