year,total
2017,3839.92166866
2018,3882.82557251
2019,3925.85733636
2020,3969.02829682
2021,4011.0812298
2022,4052.73239548
2023,4094.90144598
2024,4137.61050158
2025,4180.88768114
2026,4224.75927257
2027,4268.94981785
2028,4313.81169648
2029,4359.39267562
2030,4405.7410897
2031,4452.88462666
2032,4500.88440445
2033,4547.81448224
2034,4593.79239729
2035,4638.91840364
2036,4683.27828584
