year,total
2017,3114.8676472
2018,3160.10982483
2019,3205.95959847
2020,3252.42463119
2021,3298.17985889
2022,3344.11453949
2023,3390.05786043
2024,3436.03298342
2025,3482.06110293
2026,3528.16190873
2027,3574.15479106
2028,3619.67925112
2029,3664.77549645
2030,3709.47931055
2031,3753.8110708
2032,3797.88197706
2033,3840.63849557
2034,3882.17554896
2035,3922.57743894
2036,3961.91775193
