age,men,women,total
0,110.677840784,110.677840784,221.355681569
1,109.871537179,109.968988147,219.840525326
2,109.875204432,109.977058968,219.8522634
3,109.879436827,109.985695946,219.865132773
4,109.884234401,109.994899188,219.879133589
5,109.750727269,109.865653457,219.616380727
6,109.506956669,109.626013202,219.132969871
7,109.26434419,109.387513023,218.651857213
8,109.022890478,109.150153705,218.173044183
9,108.782596181,108.913936034,217.696532214
10,108.591379244,108.726837868,217.318217112
11,110.380154016,110.524476383,220.904630399
12,109.501348315,109.651101629,219.152449945
13,108.62409849,108.779179748,217.403278238
14,107.748406123,107.908712595,215.657118718
15,124.924000109,130.721255531,255.64525564
16,123.653671557,123.409198047,247.062869604
17,124.554752074,124.240592085,248.795344158
18,124.518619633,124.241834838,248.760454472
19,124.482497674,124.243077605,248.725575279
20,124.446386194,124.244320384,248.690706578
21,117.035460577,119.373756095,236.409216672
22,116.951180718,119.353459918,236.304640636
23,116.86696155,119.333167192,236.200128742
24,116.782803031,119.312877916,236.095680947
25,116.698705116,119.292592089,235.991297206
26,113.983050001,119.198240676,233.181290677
27,113.889565203,119.175589839,233.065155042
28,113.796157078,119.152943306,232.949100385
29,113.702825563,119.130301077,232.83312664
30,100.393222476,101.729972144,202.12319462
31,116.103681343,116.12413858,232.227819923
32,116.025844396,116.095099705,232.120944101
33,115.948059631,116.066068092,232.014127723
34,115.870327014,116.037043738,231.907370753
35,115.79264651,116.008026643,231.800673153
36,123.73110132,127.609265401,251.340366721
37,123.639458743,127.559482853,251.198941596
38,123.547884042,127.509719725,251.057603768
39,123.456377167,127.459976012,250.916353179
40,123.364938067,127.410251704,250.775189771
41,120.862131419,128.201805763,249.063937182
42,120.720578341,128.097928021,248.818506362
43,120.579191049,127.994134447,248.573325496
44,120.437969349,127.890424974,248.328394324
45,109.008439216,115.235795511,224.244234727
46,96.8596319351,100.511972416,197.371604351
47,96.6724532568,100.400346081,197.072799338
48,96.4856362963,100.288843716,196.774480012
49,96.2991803546,100.177465182,196.476645537
50,96.1130847341,100.066210343,196.179295077
51,86.807411545,87.0911597936,173.898571339
52,86.5274353186,86.9273153605,173.454750679
53,86.2483620875,86.7637791677,173.012141255
54,85.9701889394,86.6005506352,172.570739575
55,85.6929129712,86.4376291842,172.130542155
56,82.0237309435,87.4463152039,169.470046147
57,81.5921612184,87.1696694718,168.76183069
58,81.1628622071,86.8938989378,168.056761145
59,80.7358219624,86.6190008333,167.354822796
60,80.3110285997,86.3449723983,166.656000998
61,94.8307556113,91.8632074521,186.693963063
62,94.0829855302,91.3773778144,185.460363345
63,93.3411118495,90.8941175453,184.235229395
64,92.605088074,90.4134130564,183.01850113
65,91.8748680755,89.935250831,181.810118907
66,76.8867994624,86.1403479484,163.027147411
67,75.7464194593,85.3794960937,161.125915553
68,74.6229534982,84.6253646152,159.248318113
69,73.516150711,83.8778941539,157.394044865
70,72.4257639508,83.1370258749,155.562789826
71,58.7387943209,70.9537417454,129.692536066
72,57.3575544367,69.9275954351,127.285149872
73,56.008794341,68.9162894451,124.925083786
74,54.6917502732,67.9196091518,122.611359425
75,12.1475158286,12.2485288195,24.3960446481
76,8.40841515723,8.98612635354,17.3945415108
77,8.07094941386,8.77004453082,16.8409939447
78,7.74702761733,8.55915864596,16.3061862633
79,7.43610619101,8.35334375661,15.7894499476
80,7.13766337431,8.15247792481,15.2901412991
81,4.34199185604,5.14844332748,9.49043518353
82,3.84543015417,4.67172982564,8.5171599798
83,3.4056565652,4.23915699863,7.64481356383
84,3.01617664997,3.84663769732,6.8628143473
85,2.6712386906,3.49046321692,6.16170190752
86,1.43547641438,2.11555721273,3.55103362711
87,1.28596304896,1.93398967125,3.21995272021
88,1.15202238555,1.7680051506,2.92002753615
89,1.03203243505,1.61626623917,2.64829867422
90,0.924540148144,1.47755030861,2.40209045675
91,0.470410324487,0.870361885801,1.34077221029
92,0.430284409046,0.805588304407,1.23587271345
93,0.393581226921,0.745635265956,1.13921649288
94,0.36000881958,0.69014401872,1.0501528383
95,0.329300132503,0.63878250979,0.968082642293
96,0.0553507192622,0.168425419046,0.223776138308
97,0.0553507192622,0.168425419046,0.223776138308
98,0.0553507192622,0.168425419046,0.223776138308
99,0.0553507192622,0.168425419046,0.223776138308
