year,total
2017,13341.6203282
2018,13531.2351434
2019,13720.9813653
2020,13910.8954399
2021,14095.620337
2022,14278.6730366
2023,14459.4541281
2024,14638.0634091
2025,14814.5947279
2026,14989.1359649
2027,15160.8178298
2028,15328.5147012
2029,15492.4023521
2030,15652.6425923
2031,15809.3402564
2032,15962.8318719
2033,16110.1259015
2034,16251.5790091
2035,16387.5153796
2036,16518.2172744
