year,total
2017,10224.231092
2018,10350.8929578
2019,10475.665863
2020,10598.6070905
2021,10715.8042789
2022,10828.9615357
2023,10937.9562408
2024,11042.9591557
2025,11144.1253273
2026,11241.5960032
2027,11333.7700149
2028,11420.6529704
2029,11502.5063619
2030,11579.5664322
2031,11652.0190993
2032,11719.2110707
2033,11781.4198381
2034,11838.9706526
2035,11892.1588376
2036,11941.236122
