age,men,women,total
0,42.2606351918,42.2606351918,84.5212703835
1,42.0896949633,42.1270265747,84.2167215379
2,42.9627861351,43.0026127242,85.9653988593
3,42.8155584131,42.8569632806,85.6725216937
4,42.6692818006,42.7122541796,85.3815359803
5,42.5239568003,42.5684860383,85.0924428386
6,54.4113227412,57.4716576526,111.882980394
7,53.8817362765,54.2645063734,108.14624265
8,54.2982748562,54.6377305925,108.936005449
9,54.3064222046,54.6459285475,108.952350752
10,54.3145707755,54.6541277326,108.968698508
11,54.3210906103,54.6617814535,108.982872064
12,51.121487988,52.5273629351,103.648850923
13,51.1199540826,52.5268375932,103.646791676
14,51.1184202232,52.5263122565,103.64473248
15,51.1168864099,52.5257869251,103.642673335
16,51.0943911557,52.5184323588,103.612823514
17,49.9258733924,52.4800439058,102.405917298
18,49.9053996896,52.4732205448,102.378620234
19,49.8849343826,52.466398071,102.351332454
20,49.8644774682,52.4595764842,102.324053952
21,35.5968928392,36.2155986321,71.8124914713
22,41.1834993403,41.3489829808,82.5324823211
23,41.1719609221,41.3477421763,82.5197030984
24,41.1604257366,41.346501409,82.5069271456
25,41.1488937829,41.345260679,82.4941544618
26,41.1320124388,41.3427792934,82.4747917321
27,43.9787749846,45.4935957382,89.4723707228
28,43.973052651,45.4922305207,89.4652831717
29,43.9673310619,45.4908653443,89.4581964062
30,43.9616102173,45.4895002088,89.4511104261
31,43.9444499167,45.4794895155,89.4239394322
32,43.0921766127,45.7904420678,88.8826186805
33,43.0809612071,45.7817390118,88.8627002189
34,43.0697487204,45.7730376099,88.8427863303
35,43.058539152,45.7643378619,88.8228770139
36,53.1908724461,55.641900466,108.832772912
37,47.3377549041,48.5781595869,95.915914491
38,47.3211654554,48.5698970032,95.8910624587
39,47.3045818205,48.5616358249,95.8662176454
40,47.2880039972,48.5533760518,95.841380049
41,47.2449167619,48.5232572969,95.7681740588
42,42.7847189325,42.2920525828,85.0767715153
43,42.7607203722,42.2730080184,85.0337283906
44,42.7367352731,42.2539720299,84.990707303
45,42.7127636276,42.2349446136,84.9477082412
46,42.645167279,42.1952163532,84.8403836322
47,40.9931544795,42.8020826021,83.7952370816
48,40.9512496904,42.7810856451,83.7323353355
49,40.9093877381,42.7600989883,83.6694867264
50,40.8675685786,42.7391226268,83.6066912054
51,40.7586222538,42.6779359286,83.4365581823
52,48.4302280038,45.6038779583,94.0341059621
53,48.3505466527,45.5609403247,93.9114869774
54,48.2709963999,45.5180431183,93.7890395183
55,48.1915770296,45.4751863012,93.6667633308
56,47.9870701918,45.3535693181,93.3406395099
57,40.6571738029,43.7509268768,84.4081006797
58,40.5513585186,43.6750427511,84.2264012697
59,40.4458186316,43.5992902432,84.0451088748
60,40.3405534251,43.5236691248,83.8642225499
61,40.0884122983,43.3342896957,83.422701994
62,33.173705423,37.4282318485,70.6019372715
63,33.0523822277,37.3301222922,70.38250452
64,32.9315027368,37.2322699078,70.1637726446
65,32.8110653276,37.134674021,69.9457393486
66,32.4087615222,36.8706251187,69.2793866409
67,23.1692486297,27.5918359399,50.7610845697
68,22.9691683578,27.4676422549,50.4368106127
69,22.7708158983,27.3440075784,50.1148234767
70,22.5741763306,27.2209293943,49.7951057248
71,38.6565299664,35.9828498439,74.6393798103
72,26.2496417591,24.8572159893,51.1068577485
73,25.9505684328,24.6731666872,50.62373512
74,25.6549025759,24.4904801341,50.14538271
75,25.3626053659,24.3091462398,49.6717516057
76,24.5567575327,23.8318743573,48.38863189
77,14.4269863787,15.605821018,30.0328073967
78,14.129581055,15.4135511962,29.5431322512
79,13.8383065977,15.2236502139,29.0619568116
80,13.553036622,15.0360888859,28.589125508
81,12.1414076348,13.7456176682,25.887025303
82,6.17760463588,8.09695727144,14.2745619073
83,5.65065607981,7.49437008395,13.1450261638
84,5.16865614009,6.93662830028,12.1052844404
85,4.72777070789,6.42039446107,11.148165169
86,4.32449272316,5.94257948549,10.2670722087
87,0.726886384321,1.56685792851,2.29374431283
88,0.726886384321,1.56685792851,2.29374431283
89,0.726886384321,1.56685792851,2.29374431283
90,0.726886384321,1.56685792851,2.29374431283
91,0.726886384321,1.56685792851,2.29374431283
92,0.726886384321,1.56685792851,2.29374431283
93,0.726886384321,1.56685792851,2.29374431283
94,0.726886384321,1.56685792851,2.29374431283
95,0.726886384321,1.56685792851,2.29374431283
96,0.726886384321,1.56685792851,2.29374431283
97,0.726886384321,1.56685792851,2.29374431283
98,0.726886384321,1.56685792851,2.29374431283
99,0.726886384321,1.56685792851,2.29374431283
