age,men,women,total
0,43.3161371426,43.3161371426,86.6322742852
1,42.8429735291,42.8809732637,85.7239467928
2,42.6966032546,42.7361830917,85.4327863463
3,42.5511852016,42.5923344064,85.1435196079
4,54.4379943971,57.4952286035,111.933223001
5,53.9000607395,54.2786178968,108.178678636
6,54.3167409784,54.6519391731,108.968680151
7,54.3248910976,54.66013926,108.985030358
8,54.3330424397,54.6683405773,109.001383017
9,54.3411950049,54.6765431251,109.01773813
10,51.1419427194,52.5420736859,103.684016405
11,51.1404082003,52.5415481968,103.681956397
12,51.1388737272,52.5410227131,103.67989644
13,51.1373393001,52.5404972345,103.677836535
14,51.1358049191,52.5399717612,103.67577668
15,49.9868387356,52.508394611,102.495233347
16,49.9663400319,52.5015675639,102.467907596
17,49.9458497345,52.4947414045,102.440591139
18,49.9253678397,52.4879161325,102.413283972
19,35.6503490081,36.2362503597,71.8865993678
20,41.2569039498,41.3738035393,82.630707489
21,41.2453449657,41.3725619899,82.6179069556
22,41.2337892201,41.3713204779,82.605109698
23,41.2222367121,41.3700790031,82.5923157151
24,41.2106874407,41.3688375655,82.5795250062
25,44.068629139,45.5236363807,89.5922655197
26,44.062895114,45.5222702617,89.5851653757
27,44.057161835,45.5209041838,89.5780660188
28,44.051429302,45.5195381469,89.5709674489
29,44.0456975149,45.5181721509,89.5638696658
30,43.2027047536,45.8381012985,89.0408060521
31,43.1914605813,45.8293891843,89.0208497656
32,43.1802193354,45.8206787259,89.0008980613
33,43.1689810153,45.811969923,88.9809509384
34,53.3459979992,55.7092887169,109.055286716
35,47.4924541219,48.6452668952,96.1377210171
36,47.475810459,48.6369928974,96.1128033564
37,47.459172629,48.6287203068,96.0878929358
38,47.4425406296,48.6204491234,96.0629897529
39,47.4259144589,48.6121793467,96.0380938056
40,42.9727334033,42.3886436019,85.3613770052
41,42.948629383,42.3695555415,85.3181849245
42,42.924538883,42.3504760767,85.2750149597
43,42.9004618958,42.3314052036,85.2318670993
44,42.8763984136,42.3123429183,85.1887413319
45,41.2576031694,42.9419592969,84.1995624663
46,41.2154280506,42.9208937221,84.1363217727
47,41.1732960449,42.8998384812,84.0731345261
48,41.1312071082,42.8787935691,84.0100006773
49,41.0891611964,42.8577589809,83.9469201773
50,48.9034410508,45.8391886246,94.7426296754
51,48.8229811311,45.7960294378,94.6190105689
52,48.7426535907,45.7529108869,94.4955644776
53,48.6624582116,45.7098329336,94.3722911452
54,48.5823947765,45.6667955397,94.2491903162
55,41.2689717159,44.129625701,85.3985974169
56,41.1615641525,44.0530847383,85.2146488908
57,41.0544361304,43.9766765326,85.031112663
58,40.9475869222,43.9004008537,84.8479877759
59,40.8410158021,43.8242574718,84.6652732739
60,33.9205496008,37.9509012199,71.8714508207
61,33.7964950398,37.8514216054,71.6479166452
62,33.6728941724,37.7522027539,71.4250969263
63,33.5497453392,37.653243982,71.2029893212
64,33.4270468871,37.5545446079,70.981591495
65,24.105392338,28.2307109192,52.3361032572
66,23.8972279072,28.1036415923,52.0008694995
67,23.6908611003,27.9771442175,51.6680053178
68,23.4862763938,27.8512162204,51.3374926142
69,40.6819373426,37.0906432824,77.772580625
70,27.9433613059,25.8136185592,53.7569798651
71,27.6249907128,25.6224878033,53.2474785161
72,27.3102474512,25.4327722294,52.7430196805
73,26.9990901933,25.2444613589,52.2435515522
74,26.6914780824,25.0575447912,51.7490228736
75,16.0111881289,16.6131064903,32.6242946192
76,15.6811252548,16.4084265173,32.0895517721
77,15.3578664667,16.2062682817,31.5641347484
78,15.0412715017,16.0066007147,31.0478722164
79,14.7312029882,15.8093931302,30.5405961185
80,8.19427469537,10.0614251038,18.2556997991
81,7.49530454864,9.31263939919,16.8079439478
82,6.85595642877,8.61957940201,15.4755358308
83,6.27114458768,7.97809792507,14.2492425128
84,5.73621709067,7.38435642082,13.1205735115
85,0.964177388571,1.94700591438,2.91118330295
86,0.964177388571,1.94700591438,2.91118330295
87,0.964177388571,1.94700591438,2.91118330295
88,0.964177388571,1.94700591438,2.91118330295
89,0.964177388571,1.94700591438,2.91118330295
90,0.964177388571,1.94700591438,2.91118330295
91,0.964177388571,1.94700591438,2.91118330295
92,0.964177388571,1.94700591438,2.91118330295
93,0.964177388571,1.94700591438,2.91118330295
94,0.964177388571,1.94700591438,2.91118330295
95,0.964177388571,1.94700591438,2.91118330295
96,0.964177388571,1.94700591438,2.91118330295
97,0.964177388571,1.94700591438,2.91118330295
98,0.964177388571,1.94700591438,2.91118330295
99,0.964177388571,1.94700591438,2.91118330295
