year,total
2017,6613.01715355
2018,6655.23711625
2019,6696.97471358
2020,6738.29050758
2021,6777.18234557
2022,6813.57445074
2023,6848.72282835
2024,6882.8129231
2025,6916.01501036
2026,6948.48087927
2027,6978.44728439
2028,7007.08790062
2029,7034.66342416
2030,7061.40543657
2031,7087.49689527
2032,7111.80067996
2033,7135.15766754
2034,7157.66448531
2035,7179.40484876
2036,7200.44652265
