year,total
2017,23443.4654348
2018,23767.2635002
2019,24091.183195
2020,24415.293399
2021,24730.3536962
2022,25042.2794683
2023,25350.2690275
2024,25654.5109323
2025,25955.1829095
2026,26252.4507164
2027,26544.6586509
2028,26830.0585865
2029,27108.9780714
2030,27381.718445
2031,27648.4792396
2032,27909.7027031
2033,28160.1937948
2034,28400.5946026
2035,28631.4868115
2036,28853.3763155
