year,total
2017,3888.96738707
2018,3926.3379878
2019,3963.21024009
2020,3999.60984378
2021,4034.24632991
2022,4067.50784407
2023,4099.788291
2024,4131.16105704
2025,4161.69484527
2026,4191.45187734
2027,4219.73723493
2028,4246.84044158
2029,4272.87398666
2030,4297.94003553
2031,4322.11848851
2032,4345.0543158
2033,4366.45465059
2034,4386.46441758
2035,4405.21118024
2036,4422.80339532
