age,men,women,total
0,27.1114578226,27.1114578226,54.2229156452
1,26.1616586833,26.1848628637,52.3465215469
2,25.4089784085,25.4325325826,50.8415109911
3,24.6565302944,24.680374439,49.3369047334
4,23.9043144005,23.928388517,47.8327029175
5,23.3935513275,23.418048037,46.8115993646
6,22.8529582029,22.8778040579,45.7307622608
7,22.312691779,22.3378438835,44.6505356626
8,21.7727522999,21.7981677947,43.5709200946
9,21.2331400096,21.2587760726,42.4919160822
10,21.1481275968,21.1745081096,42.3226357064
11,21.4152954877,21.4432960479,42.8585915356
12,21.170836293,21.1997893875,42.3706256805
13,20.9269339334,20.9568110534,41.8837449868
14,20.6835888966,20.7143616317,41.3979505282
15,34.5798978457,39.833082124,74.4129799697
16,34.2282613985,37.6049686848,71.8332300833
17,34.4776872269,37.8583091752,72.3359964021
18,34.4676854971,37.8586878643,72.3263733613
19,34.4576866686,37.8590665572,72.3167532258
20,34.4476907408,37.8594452539,72.3071359947
21,32.3962910852,36.3752980393,68.7715891245
22,32.3729617897,36.3691134346,68.7420752243
23,32.3496492941,36.3629298814,68.7125791755
24,32.3263535863,36.3567473796,68.6831009659
25,32.3030746543,36.350565929,68.6536405833
26,31.5513610014,36.3218153819,67.8731763833
27,31.5254837099,36.3149132707,67.8403969806
28,31.4996276421,36.308012471,67.8076401131
29,31.4737927804,36.3011129827,67.7749057632
30,14.4316657481,16.0983316331,30.5299973812
31,16.6900661214,18.3761467154,35.0662128368
32,16.6788769517,18.371551438,35.0504283897
33,16.6676952833,18.3669573097,35.034652593
34,16.6565211112,18.3623643303,35.0188854415
35,16.6453544304,18.3577724994,35.0031269298
36,17.786518381,20.1936187594,37.9801371404
37,17.7733446328,20.1857408847,37.9590855175
38,17.7601806418,20.1778660833,37.9380467251
39,17.7470264009,20.169994354,37.9170207549
40,17.7338819027,20.1621256956,37.8960075983
41,17.3740999564,20.2873857295,37.6614856859
42,17.353751504,20.2709475224,37.6246990264
43,17.3334268836,20.2545226347,37.5879495184
44,17.3131260673,20.2381110556,37.5512371229
45,26.2614931186,30.5609306037,56.8224237223
46,23.3346938625,26.6561219128,49.9908157752
47,23.2896001834,26.6265182236,49.9161184069
48,23.2445936467,26.5969474115,49.8415410582
49,23.1996740839,26.5674094401,49.767083524
50,23.154841327,26.537904273,49.6927455999
51,20.9129885477,23.0968760953,44.009864643
52,20.8455387815,23.0534239863,43.8989627677
53,20.7783065581,23.0100536236,43.7883601817
54,20.7112911759,22.9667648536,43.6780560294
55,20.6444919355,22.9235575226,43.5680494581
56,19.7605402043,23.1910645356,42.9516047399
57,19.6565696727,23.1176971328,42.7742668056
58,19.5531461845,23.0445618357,42.5977080202
59,19.4502668613,22.9716579098,42.4219247711
60,19.34792884,22.8989846232,42.2469134633
61,22.8459122415,24.3624396008,47.2083518423
62,22.665765099,24.2335959045,46.8993610035
63,22.4870384728,24.1054336136,46.5924720864
64,22.3097211619,23.9779491244,46.2876702862
65,22.1338020532,23.8511388523,45.9849409054
66,18.5229893163,22.844717513,41.3677068294
67,18.2482575449,22.6429369758,40.8911945207
68,17.9776005773,22.4429387055,40.4205392827
69,17.7109579762,22.2447069599,39.955664936
70,17.4482702007,22.0482261358,39.4964963366
71,14.1509084429,18.8171771449,32.9680855878
72,13.8181505209,18.5450396026,32.3631901235
73,13.4932173852,18.2768377644,31.7700551496
74,13.1759250364,18.0125147115,31.1884397478
75,2.99817443776,3.32792269265,6.32609713041
76,2.07531282463,2.44152863186,4.5168414565
77,1.99202162504,2.38281924628,4.37484087132
78,1.91207325833,2.32552159592,4.23759485424
79,1.83533356227,2.26960173396,4.10493529623
80,1.76167375916,2.21502652989,3.97670028905
81,1.07166347222,1.39883096443,2.47049443665
82,0.949105195919,1.26930800668,2.2184132026
83,0.840563009069,1.15177806097,1.99234107004
84,0.744433994517,1.04513064973,1.78956464425
85,0.659298548964,0.948358118649,1.60765666761
86,0.354295376301,0.574796447769,0.929091824071
87,0.317393415717,0.525464585106,0.842858000823
88,0.284335012757,0.480366625912,0.764701638669
89,0.254719838145,0.439139195733,0.693859033878
90,0.228189259266,0.401450106704,0.62963936597
91,0.116103755701,0.236477140501,0.352580896202
92,0.106200126378,0.21887817212,0.325078298498
93,0.0971412748407,0.202588944239,0.299730219079
94,0.0888551416986,0.187511984088,0.276367125786
95,0.081275814212,0.173557072962,0.254832887174
96,0.0136613208779,0.0457611507736,0.0594224716515
97,0.0136613208779,0.0457611507736,0.0594224716515
98,0.0136613208779,0.0457611507736,0.0594224716515
99,0.0136613208779,0.0457611507736,0.0594224716515
