year,total
2017,7845.02057978
2018,7924.09643445
2019,8002.73750079
2020,8080.99683328
2021,8156.11230112
2022,8229.00528133
2023,8300.01021922
2024,8369.28228017
2025,8436.96291333
2026,8503.17994333
2027,8566.53548306
2028,8627.25395392
2029,8685.56858213
2030,8741.68792256
2031,8795.7746427
2032,8847.12422648
2033,8894.99264923
2034,8939.71869351
2035,8981.60161809
2036,9020.89828623
