year,total
2017,3450.94396921
2018,3482.94284393
2019,3514.50204205
2020,3545.64525493
2021,3575.24232005
2022,3603.6000249
2023,3631.10565527
2024,3657.82704225
2025,3683.82767409
2026,3709.16498644
2027,3733.1963542
2028,3756.21373589
2029,3778.32068596
2030,3799.61115715
2031,3820.15885977
2032,3839.62227621
2033,3857.75137857
2034,3874.67808709
2035,3890.51820783
2036,3905.37010436
