age,men,women,total
0,0,1,1
1,0,0,0
2,0,1,1
3,0,0,0
4,1,1,2
5,0,0,0
6,0,0,0
7,0,0,0
8,2,0,2
9,0,0,0
10,1,0,1
11,0,1,1
12,1,0,1
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,1,1,2
23,0,0,0
24,0,1,1
25,0,1,1
26,0,2,2
27,0,0,0
28,0,0,0
29,0,1,1
30,0,0,0
31,0,2,2
32,0,0,0
33,0,2,2
34,0,1,1
35,0,0,0
36,0,2,2
37,0,0,0
38,1,1,2
39,0,0,0
40,0,2,2
41,0,0,0
42,1,0,1
43,0,0,0
44,0,0,0
45,0,0,0
46,0,2,2
47,0,1,1
48,0,2,2
49,1,1,2
50,0,2,2
51,1,0,1
52,0,1,1
53,1,4,5
54,0,3,3
55,0,3,3
56,2,2,4
57,0,0,0
58,1,2,3
59,0,0,0
60,0,3,3
61,2,3,5
62,1,7,8
63,1,4,5
64,0,2,2
65,3,4,7
66,5,2,7
67,2,3,5
68,2,1,3
69,0,6,6
70,1,3,4
71,1,2,3
72,0,0,0
73,0,3,3
74,0,0,0
75,0,1,1
76,0,1,1
77,0,1,1
78,0,0,0
79,0,1,1
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
