age,men,women,total
0,0,0,0
1,0,0,0
2,0,1,1
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,1
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,1
22,0,0,0
23,0,0,0
24,1,0,1
25,0,0,0
26,1,0,1
27,1,0,1
28,0,0,0
29,0,0,0
30,0,3,3
31,0,0,0
32,0,0,0
33,0,0,0
34,0,1,1
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,1,1
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,1,1
47,0,0,0
48,0,1,1
49,0,1,1
50,0,0,0
51,0,0,0
52,0,1,1
53,0,1,1
54,0,1,1
55,0,0,0
56,0,1,1
57,0,2,2
58,0,0,0
59,0,1,1
60,0,1,1
61,0,2,2
62,0,1,1
63,0,2,2
64,0,0,0
65,3,5,8
66,1,3,4
67,1,1,2
68,2,3,5
69,1,4,5
70,0,3,3
71,1,4,5
72,2,1,3
73,1,2,3
74,2,2,4
75,1,2,3
76,0,2,2
77,2,0,2
78,0,0,0
79,0,0,0
80,0,0,0
81,0,1,1
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
