age,men,women,total
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,0,1
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,1,1
12,0,0,0
13,0,0,0
14,0,2,2
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,1,1
30,0,0,0
31,1,2,3
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,2,2
42,1,2,3
43,0,1,1
44,0,0,0
45,0,1,1
46,0,4,4
47,0,0,0
48,0,1,1
49,0,1,1
50,0,0,0
51,0,1,1
52,0,2,2
53,1,1,2
54,0,2,2
55,0,3,3
56,0,0,0
57,0,0,0
58,0,1,1
59,0,1,1
60,1,2,3
61,2,3,5
62,1,2,3
63,0,4,4
64,1,3,4
65,1,2,3
66,1,3,4
67,4,5,9
68,1,8,9
69,2,4,6
70,2,4,6
71,0,6,6
72,3,1,4
73,0,4,4
74,1,2,3
75,0,0,0
76,0,2,2
77,1,2,3
78,1,0,1
79,0,0,0
80,0,1,1
81,0,0,0
82,0,1,1
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
