age,men,women,total
0,0,0,0
1,0,1,1
2,0,0,0
3,1,0,1
4,0,0,0
5,1,0,1
6,0,0,0
7,1,0,1
8,0,0,0
9,0,1,1
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,0,1
16,0,0,0
17,1,2,3
18,1,0,1
19,1,0,1
20,0,0,0
21,0,0,0
22,0,1,1
23,1,2,3
24,0,1,1
25,1,1,2
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,1,1
31,0,0,0
32,0,0,0
33,0,0,0
34,0,2,2
35,0,0,0
36,0,2,2
37,0,0,0
38,0,0,0
39,0,1,1
40,0,0,0
41,0,0,0
42,0,0,0
43,0,3,3
44,0,0,0
45,1,1,2
46,0,0,0
47,0,0,0
48,0,1,1
49,0,0,0
50,0,1,1
51,0,1,1
52,0,1,1
53,0,2,2
54,1,0,1
55,0,0,0
56,1,1,2
57,0,1,1
58,0,1,1
59,0,3,3
60,1,0,1
61,1,0,1
62,1,4,5
63,1,5,6
64,2,0,2
65,1,1,2
66,1,1,2
67,0,1,1
68,1,1,2
69,2,1,3
70,2,3,5
71,1,1,2
72,1,1,2
73,2,0,2
74,0,0,0
75,1,1,2
76,0,1,1
77,1,0,1
78,0,1,1
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
