age,men,women,total
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,1,1
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,0,1
12,0,0,0
13,1,1,2
14,2,0,2
15,0,0,0
16,0,0,0
17,0,2,2
18,0,0,0
19,0,1,1
20,0,0,0
21,0,0,0
22,0,2,2
23,0,1,1
24,0,0,0
25,0,1,1
26,1,2,3
27,1,0,1
28,1,0,1
29,0,3,3
30,0,0,0
31,1,2,3
32,0,0,0
33,1,0,1
34,0,0,0
35,0,0,0
36,0,1,1
37,0,1,1
38,0,0,0
39,0,1,1
40,0,1,1
41,0,1,1
42,0,0,0
43,0,1,1
44,0,1,1
45,0,1,1
46,0,2,2
47,0,0,0
48,0,0,0
49,0,2,2
50,1,1,2
51,0,1,1
52,2,0,2
53,0,2,2
54,0,3,3
55,2,3,5
56,0,1,1
57,1,1,2
58,1,2,3
59,1,1,2
60,1,7,8
61,1,1,2
62,0,2,2
63,1,2,3
64,3,3,6
65,1,3,4
66,3,6,9
67,4,4,8
68,4,5,9
69,2,4,6
70,3,6,9
71,1,3,4
72,4,3,7
73,1,6,7
74,0,3,3
75,1,2,3
76,4,1,5
77,2,1,3
78,1,1,2
79,0,2,2
80,0,1,1
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
