age,men,women,total
0,33.3099104135,33.3099104135,66.619820827
1,33.0978593826,33.127215652,66.2250750346
2,33.1346782475,33.1653941609,66.3000724084
3,33.0682018813,33.100180549,66.1683824304
4,33.1405249906,33.1739009262,66.3144259167
5,33.206135217,33.2409072375,66.4470424545
6,33.2769646838,33.3131435728,66.5901082566
7,33.348041635,33.3856333982,66.7336750332
8,33.5392897001,33.5784403611,67.1177300612
9,33.6650064759,33.7056522884,67.3706587643
10,33.791246101,33.8333978421,67.6246439431
11,33.9169911808,33.9613377439,67.8783289247
12,34.0432521395,34.0898094642,68.1330616037
13,34.3426612456,34.3916918306,68.7343530762
14,35.2368084464,35.2892332446,70.526041691
15,35.3000400791,35.3546805302,70.6547206092
16,35.3494959222,35.416257705,70.7657536272
17,35.3996316932,35.4785541297,70.8781858228
18,36.1847937924,39.1785677688,75.3633615611
19,35.8168374615,36.9870654115,72.803902873
20,36.077839452,37.2362431562,73.3140826082
21,36.0572685008,37.2354982227,73.2927667235
22,36.0367092788,37.2347533042,73.271462583
23,36.0161617793,37.2340084006,73.2501701799
24,33.8713578671,35.7743792516,69.6457371186
25,33.8469663428,35.7682968164,69.6152631592
26,33.8181915297,35.7611422269,69.5793337566
27,33.7894411794,35.7539890686,69.5434302479
28,33.760715271,35.746837341,69.507552612
29,32.9750813686,35.7185642975,68.6936456661
30,32.9480363928,35.7117768201,68.6598132129
31,32.9124453953,35.6982044447,68.6106498401
32,32.8768928438,35.6846372276,68.5615300714
33,29.1688540483,30.6220267539,59.7908808021
34,33.7334657862,34.9548555202,68.6883213064
35,33.7108505688,34.9461144462,68.6569650151
36,33.6764445135,34.9314331142,68.6078776278
37,33.6420735739,34.91675795,68.5588315239
38,33.6077377139,34.902088951,68.509826665
39,35.911800322,38.3924290491,74.3042293711
40,35.8852019172,38.3774515085,74.2626534257
41,35.8385095985,38.3452047752,74.1837143737
42,35.7918780339,38.3129851373,74.1048631712
43,35.7453071444,38.280792572,74.0260997164
44,35.0201125002,38.5186173652,73.5387298654
45,34.9790971329,38.4874069857,73.4665041186
46,34.9024146941,38.4373568401,73.3397715342
47,34.8259003613,38.3873717812,73.2132721424
48,40.6082830428,44.5845523199,85.1928353627
49,36.08255817,38.8879277754,74.9704859454
50,36.0128295802,38.8447397178,74.8575692979
51,35.8840990034,38.7650665713,74.6491655747
52,35.7558285839,38.6855568398,74.4413854236
53,35.6280166766,38.606210188,74.2342268646
54,32.1785104987,33.6003492984,65.7788597971
55,32.074726527,33.5371370253,65.6118635523
56,31.8880681127,33.4159843653,65.304052478
57,31.7024959543,33.2952693684,64.9977653227
58,31.5180037305,33.1749904535,64.692994184
59,30.1684721435,33.5621268129,63.7305989564
60,30.0097400414,33.45594945,63.4656894914
61,29.7426686636,33.262688304,63.0053569675
62,29.4779740847,33.0705435474,62.5485176321
63,29.2156351526,32.8795087315,62.095143884
64,34.497637566,34.9808106671,69.4784482331
65,34.2256129357,34.7958104364,69.0214233721
66,33.662505308,34.4559973894,68.1185026974
67,33.1086623852,34.1195029289,67.2281653141
68,32.5639317367,33.7862946458,66.3502263825
69,27.2515927543,32.3606500208,59.6122427751
70,26.847398905,32.0748181061,58.9222170111
71,26.1478530541,31.5561182314,57.7039712854
72,25.466534831,31.0458065433,56.5123413742
73,24.8029692899,30.5437473917,55.3467166816
74,20.1157217017,26.0677254396,46.1834471413
75,19.6427014868,25.690729109,45.3334305958
76,18.7854013453,25.0072427034,43.7926440487
77,17.9655178257,24.3419400427,42.3074578684
78,16.0755805404,17.8347751117,33.9103556521
79,11.1273907344,13.0844728378,24.2118635722
80,10.6808008461,12.769841524,23.4506423701
81,9.37762930706,11.5352782068,20.9129075138
82,8.23345858498,10.4200700578,18.6535286428
83,7.22888888554,9.41267805283,16.6415669384
84,4.39748626732,5.94428343895,10.3417697063
85,3.89457807742,5.39388014345,9.28845822087
86,3.44918380163,4.89444073464,8.34362453627
87,3.05472599623,4.44124627686,7.49597227309
88,2.70537943139,4.03001477823,6.73539420962
89,1.45382304449,2.44257747514,3.89640051964
90,1.30239876895,2.2329434438,3.53534221275
91,1.16674622801,2.04130123771,3.20804746572
92,1.04522270217,1.8661067098,2.91132941197
93,0.936356570864,1.7059482393,2.64230481017
94,0.476422575289,1.00490136816,1.48132394344
95,0.435783815943,0.930115165284,1.36589898123
96,0.398611535406,0.860894659024,1.25950619443
97,0.364610043663,0.796825642242,1.16143568591
98,0.333508873005,0.737524733693,1.0710336067
99,0.0560581493268,0.194460415596,0.250518564923
