age,men,women,total
0,35.082301055,35.082301055,70.16460211
1,34.8896061215,34.9205515873,69.8101577088
2,34.7665680424,34.7987967209,69.5653647633
3,34.7934844841,34.8271315896,69.6206160738
4,34.8132702255,34.8483307885,69.661601014
5,34.8332674952,34.8697433779,69.703010873
6,34.8587060281,34.8966045946,69.7553106226
7,34.9336962591,34.9730754602,69.9067717193
8,34.9537292368,34.9945309835,69.9482602203
9,34.9742238172,35.0164503275,69.9906741448
10,34.9951802739,35.0388338217,70.0340140956
11,35.0155482038,35.0613311333,70.0768793371
12,35.1465355943,35.194601762,70.3411373563
13,35.9011567791,35.9524124086,71.8535691877
14,35.7994348145,35.8526966797,71.6521314942
15,35.6983484519,35.7536054391,71.4519538911
16,35.5833002425,35.6505035929,71.2338038354
17,39.2776689078,41.4489590056,80.7266279134
18,38.8782617144,39.1304594651,78.0087211794
19,39.1615727047,39.3940770171,78.5556497218
20,39.1502122133,39.3944710682,78.5446832814
21,39.127889449,39.3936829581,78.5215724071
22,39.1055794128,39.3928948637,78.4984742766
23,36.7767971225,37.8486341173,74.6254312398
24,36.7503133264,37.8421990129,74.5925123393
25,36.7238486018,37.8357650027,74.5596136044
26,36.692628023,37.8281968658,74.5208248888
27,36.6614339861,37.8206302428,74.4820642289
28,35.808298464,37.790716986,73.59901545
29,35.7789297855,37.7835357444,73.56246553
30,35.7495851942,37.7763558674,73.5259410616
31,35.7109679187,37.7619988422,73.472966761
32,31.2910971554,32.0035524411,63.2946495965
33,36.1878170995,36.5318586097,72.7196757092
34,36.1635564631,36.5227231785,72.6862796416
35,36.1393120912,36.5135900317,72.6529021229
36,36.1024274933,36.4982501821,72.6006776754
37,36.0655805406,36.4829167771,72.5484973176
38,38.5381467177,40.1313456003,78.669492318
39,38.5096030853,40.1156896787,78.625292764
40,38.481080594,40.1000398648,78.5811204588
41,38.4310106269,40.0663457231,78.49735635
42,38.3810058088,40.0326798929,78.4136857018
43,37.6023385634,40.2813885319,77.8837270952
44,37.5582989068,40.2487498364,77.8070487432
45,37.5143108292,40.216137587,77.7304484162
46,37.4320706035,40.1638393497,77.5959099532
47,39.1607743865,41.8529811779,81.0137555644
48,34.7963719199,36.5053729273,71.3017448471
49,34.729128851,36.4648308814,71.1939597324
50,34.6620157275,36.4243338607,71.0863495882
51,34.5381137368,36.3496251278,70.8877388645
52,34.4146546431,36.2750696274,70.6897242705
53,31.0826262319,31.5714752723,62.6541015041
54,30.9823767688,31.5120799159,62.4944566847
55,30.882450636,31.4527963,62.335246936
56,30.7027306542,31.3391733055,62.0419039597
57,30.5240565503,31.2259607732,61.7500173236
58,29.2170835951,31.5903528833,60.8074364784
59,29.0633572456,31.4904134372,60.5537706828
60,28.9104397307,31.3907901602,60.3012298909
61,28.6531515648,31.209458583,59.8626101478
62,28.3981531323,31.0291744831,59.4273276154
63,33.5323599568,33.0122231027,66.5445830594
64,33.2679468414,32.8376339844,66.1055808258
65,33.0056187059,32.6639682018,65.6695869077
66,32.4625834159,32.3449745521,64.807557968
67,31.9284825842,32.0290961685,63.9575787527
68,26.7198080281,30.6775981935,57.3974062216
69,26.3235015754,30.4066321707,56.7301337461
70,25.9330731141,30.1380595096,56.0711326236
71,25.2573512773,29.6506800445,54.9080313218
72,24.5992363011,29.1711822661,53.7704185671
73,19.9504900289,24.896302353,44.846792382
74,19.4813552287,24.5362473627,44.0176025914
75,19.0232521105,24.1813995551,43.2046516656
76,18.1929876616,23.538067955,41.7310556166
77,28.1881796822,29.8620309695,58.0502106517
78,19.511636835,21.9082624061,41.4198992411
79,18.7285512112,21.3814528457,40.1100040569
80,17.9768941702,20.8673110318,38.844205202
81,15.783521484,18.8499001908,34.6334216747
82,13.8577636424,17.0275286864,30.8852923287
83,8.42997122767,10.753205008,19.1831762357
84,7.46589736518,9.75752579211,17.2234231573
85,6.61207754594,8.85404021524,15.4661177612
86,5.85590282521,8.03421172572,13.8901145509
87,5.18620625062,7.29029420294,12.4765004536
88,2.78697548785,4.41862111858,7.20559660644
89,2.49669549415,4.03939328754,6.53608878168
90,2.23664988001,3.69271265707,5.92936253708
91,2.00368955585,3.3757858661,5.37947542195
92,1.79499342838,3.08605929355,4.88105272193
93,0.913300999197,1.81786594391,2.73116694311
94,0.835396589453,1.68257774988,2.51797433933
95,0.764137411745,1.55735789753,2.32149530927
96,0.698956628983,1.44145708641,2.14041371539
97,0.63933575518,1.33418178008,1.97351753526
98,0.10746334546,0.351778769691,0.459242115151
99,0.10746334546,0.351778769691,0.459242115151
