year,total
2017,4845.11722767
2018,4893.48822523
2019,4941.06088535
2020,4987.86781197
2021,5032.25884259
2022,5074.72777434
2023,5115.67514275
2024,5155.19561882
2025,5193.37709688
2026,5230.2991888
2027,5265.06251234
2028,5298.00775806
2029,5329.27909489
2030,5359.00720108
2031,5387.29541771
2032,5413.67518999
2033,5438.03563096
2034,5460.55481247
2035,5481.39043414
2036,5500.67635996
