year,total
2017,4438.69005746
2018,4487.3969444
2019,4535.40875844
2020,4582.75386722
2021,4627.8142977
2022,4671.13325945
2023,4712.99054214
2024,4753.47157529
2025,4792.65520801
2026,4830.61291968
2027,4866.52451483
2028,4900.64178902
2029,4933.09500802
2030,4964.00195893
2031,4993.45524925
2032,5021.04744775
2033,5046.73311364
2034,5070.67314816
2035,5093.01050116
2036,5113.86635081
