year,total
2017,8579.06909591
2018,8686.05654914
2019,8791.62227234
2020,8895.80601371
2021,8995.44554126
2022,9092.17170249
2023,9185.80621554
2024,9276.46012309
2025,9364.23576304
2026,9449.22712767
2027,9530.41102491
2028,9607.58054496
2029,9680.91216052
2030,9750.56732052
2031,9816.67017375
2032,9878.94917841
2033,9937.02048264
2034,9991.13014044
2035,10041.5033303
2036,10088.3338013
