age,men,women,total
0,73.8721373647,73.8721373647,147.744274729
1,73.3969646055,73.4620643161,146.859028922
2,73.4765487154,73.5446616238,147.021210339
3,73.5551505866,73.6262822352,147.181432822
4,73.3262419658,73.4000890738,146.72633104
5,73.4066418254,73.483510068,146.890151893
6,73.4830501007,73.562941255,147.045991356
7,73.5599734221,73.6428943066,147.202867729
8,73.6374121417,73.7233696375,147.360781779
9,73.9551795967,74.0444701887,147.999649785
10,74.1356048735,74.2280828134,148.363687687
11,74.3149112315,74.4120781908,148.726989422
12,74.4953183468,74.5971976474,149.092515994
13,74.6768267967,74.7834419619,149.460268759
14,75.2306999984,75.342627112,150.57332711
15,77.0935349384,77.2128669708,154.306401909
16,77.1017198653,77.2473357543,154.34905562
17,77.1114317568,77.2833494233,154.39478118
18,77.1226701634,77.3209090946,154.443579258
19,81.7641634858,87.5642573796,169.328420865
20,80.9327191569,82.6662407498,163.598959907
21,81.4996462636,83.2206566478,164.720302911
22,81.4531765949,83.2189917685,164.672168363
23,81.4067334225,83.2173269226,164.624060345
24,81.3603167311,83.2156621099,164.575978841
25,76.5152161705,79.9534829547,156.468699125
26,76.4501671784,79.937490179,156.387657357
27,76.3851734874,79.9215006023,156.30667409
28,76.3202350504,79.905514224,156.225749274
29,76.2553518204,79.8895310433,156.144882864
30,74.480839961,79.8263444693,154.30718443
31,74.4003845628,79.796006211,154.196390774
32,74.3200160738,79.7656794829,154.085695557
33,74.2397344001,79.7353642806,153.975098681
34,64.6626423112,67.1725854896,131.835227801
35,74.7816499214,76.6770938966,151.458743818
36,74.705326081,76.6448808196,151.350206901
37,74.6290801384,76.6126812758,151.241761414
38,74.5529120141,76.5804952594,151.133407273
39,74.4768216287,76.5483227648,151.025144393
40,79.5827666149,84.2034427996,163.786209415
41,79.4792168591,84.132690682,163.611907541
42,79.3758018378,84.061998014,163.437799852
43,79.2725213758,83.9913647457,163.263886121
44,79.169375298,83.9207908271,163.090166125
45,77.5632006267,84.4421605111,162.005361138
46,77.3931637797,84.3323494648,161.725513245
47,77.2234996937,84.22268122,161.446180914
48,77.0542075514,84.1131555909,161.167363142
49,89.2257498111,95.9254538695,185.151203681
50,79.2816900047,83.6689375086,162.950627513
51,78.9982916215,83.4973269492,162.495618571
52,78.7159062671,83.3260683745,162.041974642
53,78.4345303205,83.1551610625,161.589691383
54,78.1541601735,82.9846042928,161.138764466
55,70.5872708685,72.2244342828,142.811705151
56,70.1764892508,71.963524047,142.140013298
57,69.7680981708,71.7035563475,141.471654518
58,69.3620837168,71.4445277794,140.806611496
59,68.9584320582,71.18643495,140.144867008
60,66.0057836911,72.0171467871,138.022930478
61,65.4183658869,71.6011335951,137.019499482
62,64.8361758015,71.1875235388,136.02369934
63,64.2591669109,70.7763027363,135.035469647
64,63.6872931051,70.3674573858,134.054750491
65,75.2015536758,74.8645828027,150.066136479
66,73.9642765359,74.1334613924,148.097737928
67,72.7473560861,73.4094800543,146.15683614
68,71.5504574015,72.6925690588,144.24302646
69,70.3732510678,71.9826593577,142.355910425
70,58.8928632574,68.9452830345,127.838146292
71,57.3583288212,67.8303301903,125.188659011
72,55.8637787872,66.733407874,122.597186661
73,54.4081713069,65.6542245037,120.062395811
74,52.9904916787,64.5924932131,117.582984892
75,42.9763860523,55.1268106346,98.1031966869
76,41.1006938586,53.6601949736,94.7608888321
77,39.3068657193,52.2325977406,91.5394634599
78,37.5913287009,50.8429808739,88.4343095748
79,35.9506658097,49.4903339287,85.4409997384
80,24.8847688344,36.3085559512,61.1933247856
81,21.8485618151,32.7983157345,54.6468775496
82,19.1828044121,29.6274386803,48.8102430924
83,16.8422978238,26.7631158217,43.6054136455
84,19.1188882187,23.9318661821,43.0507544008
85,11.6304247747,15.113424151,26.7438489257
86,10.3003385583,13.7140160399,24.0143545982
87,9.12236452839,12.4441843267,21.5665488551
88,8.07910673208,11.2919310512,19.3710377833
89,7.15515866366,10.2463691888,17.4015278524
90,3.8450556811,6.21028754479,10.0553432259
91,3.44457037229,5.67729007508,9.12186044737
92,3.08579797894,5.19003707383,8.27583505277
93,2.764393854,4.74460252542,7.50899637942
94,2.47646587113,4.33739736421,6.81386323534
95,1.26003734544,2.55497584576,3.8150131912
96,1.15255638819,2.36483087434,3.51738726252
97,1.05424353712,2.18883676474,3.24308030185
98,0.964316754427,2.0259403895,2.99025714393
99,0.882060710006,1.87516699643,2.75722770644
