age,men,women,total
0,98.8654896353,98.8654896353,197.730979271
1,97.6208747868,97.7074599846,195.328334771
2,97.1211219791,97.2111534544,194.332275433
3,96.6225248349,96.7159638317,193.338488667
4,96.1250834453,96.2218913442,192.34697479
5,95.794869927,95.8951821483,191.690052075
6,97.2266728436,97.332378188,194.559051032
7,96.3038655162,96.4124245781,192.716290094
8,95.3823948377,95.4937354127,190.87613025
9,94.4622623386,94.5763123805,189.038574719
10,110.423987569,121.863590637,232.287578207
11,109.345947711,115.061957905,224.407905617
12,110.187952066,115.852180407,226.040132473
13,110.201178853,115.868404255,226.069583107
14,110.214407227,115.884630374,226.099037602
15,110.22763719,115.900858767,226.128495957
16,103.692506074,111.36071245,215.053218524
17,103.646873614,111.345119924,214.991993537
18,103.601261235,111.32952958,214.930790815
19,103.55566893,111.313941419,214.869610349
20,103.510096688,111.298355441,214.808452129
21,101.114505703,111.213664275,212.328169978
22,101.044722738,111.195867597,212.240590335
23,100.974987932,111.178073767,212.153061699
24,100.905301253,111.160282785,212.065584038
25,83.4040074128,88.853112832,172.257120245
26,96.4809476225,101.444563569,197.925511192
27,96.4413662894,101.438475251,197.879841541
28,96.4018011945,101.432387299,197.834188494
29,96.3622523312,101.426299712,197.788552044
30,96.3227196928,101.420212491,197.742932184
31,102.962447963,111.581593736,214.544041699
32,102.922256838,111.557038418,214.479295257
33,102.882081402,111.532488505,214.414569907
34,102.841921648,111.507943994,214.349865642
35,102.80177757,111.483404885,214.285182455
36,100.772677621,112.226547992,212.999225612
37,100.711143523,112.186133097,212.89727662
38,100.649646999,112.145732757,212.795379756
39,100.588188026,112.105346966,212.693534992
40,93.4230804118,102.477960791,195.901041202
41,83.0961792972,89.4280921235,172.524271421
42,83.0204648596,89.3726178598,172.393082719
43,82.9448194104,89.317178008,172.261997418
44,82.8692428868,89.2617725468,172.131015434
45,82.7937352259,89.2064014548,172.000136681
46,74.9008750687,77.712653428,152.613528497
47,74.7823384714,77.6395530946,152.421891566
48,74.6639894678,77.5665215229,152.230510991
49,74.5458277608,77.4935586483,152.039386409
50,74.4278530542,77.4206644061,151.84851746
51,71.4269134192,78.4602126444,149.887126064
52,71.236500826,78.3478864885,149.584387314
53,71.0465958418,78.2357211423,149.282316984
54,70.8571971137,78.1237163756,148.980913489
55,70.6683032919,78.0118719586,148.68017525
56,83.7509813334,83.2156764029,166.966657736
57,83.3955738242,82.9931277926,166.388701617
58,83.0416745302,82.7711743573,165.812848888
59,82.689277051,82.5498145052,165.239091556
60,82.3383750136,82.3290466489,164.667421662
61,69.5062767616,79.2116344335,148.717911195
62,69.0718407052,78.8669701529,147.938810858
63,68.6401200107,78.5238055695,147.16392558
64,68.211097706,78.1821341578,146.393231864
65,67.7847569255,77.8419494207,145.626706346
66,55.6084117925,66.9301989019,122.538610694
67,54.9265846269,66.4542866711,121.380871298
68,54.2531174965,65.9817584501,120.234875947
69,53.5879078971,65.5125901767,119.100498074
70,52.9308545814,65.0467579597,117.977612541
71,37.4095010004,48.3167996653,85.7263006658
72,36.6639059991,47.7431808915,84.4070868906
73,35.9331711773,47.1763721404,83.1095433177
74,35.2170003625,46.6162925629,81.8332929255
75,25.7315391072,26.2925547322,52.0240938393
76,17.1127553421,17.9393128473,35.0520681894
77,16.5690305704,17.5871026327,34.1561332031
78,16.0425816039,17.2418075122,33.2843891161
79,15.5328595372,16.9032917186,32.4361512558
80,15.0393329054,16.5714221507,31.6107550561
81,8.08187143654,10.0438794158,18.1257508523
82,7.24009668827,9.18186420699,16.4219608953
83,6.48599776266,8.39383138979,14.8798291525
84,5.81044270381,7.67343143091,13.4838741347
85,5.20525070308,7.01485974528,12.2201104484
86,2.64845575088,4.13215477062,6.7806105215
87,2.42254295523,3.82463387875,6.24717683398
88,2.2159004801,3.53999913326,5.75589961337
89,2.02688457067,3.27654731427,5.30343188494
90,1.85399168406,3.03270195798,4.88669364203
91,0.311629917786,0.799621295646,1.11125121343
92,0.311629917786,0.799621295646,1.11125121343
93,0.311629917786,0.799621295646,1.11125121343
94,0.311629917786,0.799621295646,1.11125121343
95,0.311629917786,0.799621295646,1.11125121343
96,0.311629917786,0.799621295646,1.11125121343
97,0.311629917786,0.799621295646,1.11125121343
98,0.311629917786,0.799621295646,1.11125121343
99,0.311629917786,0.799621295646,1.11125121343
