age,men,women,total
0,96.3083635091,96.3083635091,192.616727018
1,94.6476147937,94.7315628474,189.379177641
2,110.624060965,122.045322241,232.669383206
3,109.530919926,115.217411478,224.748331404
4,110.361101064,115.992458111,226.353559176
5,110.361101064,115.992458111,226.353559176
6,110.377660528,116.009861853,226.387522381
7,110.394222477,116.027268206,226.421490683
8,103.894936466,111.497781813,215.392718279
9,103.894936466,111.497781813,215.392718279
10,103.894936466,111.497781813,215.392718279
11,103.891819088,111.49666669,215.388485778
12,103.888701803,111.495551579,215.384253382
13,101.55443513,111.428541421,212.982976551
14,101.55443513,111.428541421,212.982976551
15,101.55443513,111.428541421,212.982976551
16,101.512789482,111.414053683,212.926843165
17,83.9296458523,89.0586305523,172.988276405
18,97.1288482107,101.685308148,198.814156359
19,97.1288482107,101.685308148,198.814156359
20,97.1288482107,101.685308148,198.814156359
21,97.1016355335,101.682256765,198.783892298
22,97.0744304804,101.679205473,198.753635954
23,103.806496358,111.891158897,215.697655255
24,103.806496358,111.891158897,215.697655255
25,103.806496358,111.891158897,215.697655255
26,103.792989492,111.887801155,215.680790648
27,103.779484384,111.884443514,215.663927898
28,101.793243751,112.670834815,214.464078567
29,101.793243751,112.670834815,214.464078567
30,101.793243751,112.670834815,214.464078567
31,101.766750485,112.64942029,214.416170775
32,94.5508265971,102.99282806,197.543654657
33,84.1759637605,89.9331821438,174.109145904
34,84.1759637605,89.9331821438,174.109145904
35,84.1759637605,89.9331821438,174.109145904
36,84.1464644141,89.9178855486,174.064349963
37,84.1169754056,89.9025915552,174.019566961
38,76.2185906173,78.3928835023,154.61147412
39,76.2185906173,78.3928835023,154.61147412
40,76.2185906173,78.3928835023,154.61147412
41,76.1758385207,78.3575823469,154.533420868
42,76.1331104043,78.3222970881,154.455407492
43,73.2587104637,79.4877490025,152.746459466
44,73.2587104637,79.4877490025,152.746459466
45,73.2587104637,79.4877490025,152.746459466
46,73.1838225745,79.448755553,152.632578128
47,73.1090112387,79.409781232,152.518792471
48,87.0127818941,84.9339775829,171.946759477
49,87.0127818941,84.9339775829,171.946759477
50,87.0127818941,84.9339775829,171.946759477
51,86.8696213865,84.8540092956,171.723630682
52,86.7266964183,84.7741163013,171.50081272
53,73.671164173,81.9205722079,155.591736381
54,73.671164173,81.9205722079,155.591736381
55,73.671164173,81.9205722079,155.591736381
56,73.4794259273,81.7784844525,155.25791038
57,73.288186704,81.6366431422,154.924829846
58,60.8695822917,70.695645712,131.565228004
59,60.8695822917,70.695645712,131.565228004
60,60.8695822917,70.695645712,131.565228004
61,60.6469694686,70.510333233,131.157302702
62,60.4251707873,70.3255065083,130.750677296
63,43.5746673595,52.8654804687,96.4401478282
64,43.5746673595,52.8654804687,96.4401478282
65,43.5746673595,52.8654804687,96.4401478282
66,43.1983741343,52.6275275161,95.8259016503
67,31.9269409546,29.9044360114,61.831376966
68,21.9297827184,20.8123029452,42.7420856636
69,21.9297827184,20.8123029452,42.7420856636
70,21.9297827184,20.8123029452,42.7420856636
71,21.6799273823,20.6582032329,42.3381306152
72,21.4329187543,20.505244515,41.9381632693
73,12.8567812268,13.5949397108,26.4517209376
74,12.8567812268,13.5949397108,26.4517209376
75,12.8567812268,13.5949397108,26.4517209376
76,12.5917449204,13.4274447336,26.019189654
77,12.3321722088,13.2620133601,25.594185569
78,6.85980681622,8.44021987743,15.3000266937
79,6.85980681622,8.44021987743,15.3000266937
80,6.85980681622,8.44021987743,15.3000266937
81,6.27466653778,7.81208659387,14.0867531317
82,5.73943861906,7.23069989128,12.9701385103
83,0.964718882169,1.9064918662,2.87121074837
84,0.964718882169,1.9064918662,2.87121074837
85,0.964718882169,1.9064918662,2.87121074837
86,0.964718882169,1.9064918662,2.87121074837
87,0.964718882169,1.9064918662,2.87121074837
88,0.964718882169,1.9064918662,2.87121074837
89,0.964718882169,1.9064918662,2.87121074837
90,0.964718882169,1.9064918662,2.87121074837
91,0.964718882169,1.9064918662,2.87121074837
92,0.964718882169,1.9064918662,2.87121074837
93,0.964718882169,1.9064918662,2.87121074837
94,0.964718882169,1.9064918662,2.87121074837
95,0.964718882169,1.9064918662,2.87121074837
96,0.964718882169,1.9064918662,2.87121074837
97,0.964718882169,1.9064918662,2.87121074837
98,0.964718882169,1.9064918662,2.87121074837
99,0.964718882169,1.9064918662,2.87121074837
