year,total
2017,12443.1033118
2018,12588.8537024
2019,12734.7622525
2020,12880.8960982
2021,13022.5636383
2022,13161.9749309
2023,13299.3512286
2024,13434.8832896
2025,13568.7471701
2026,13701.1036124
2027,13830.2714112
2028,13955.9910445
2029,14078.5681957
2030,14198.2784441
2031,14315.3284332
2032,14429.1287338
2033,14536.3190666
2034,14637.5947398
2035,14733.5669232
2036,14824.7631628
