year,total
2017,3178.23832992
2018,3217.24149518
2019,3256.4009534
2020,3295.7341385
2021,3333.97379182
2022,3371.7276778
2023,3408.83442687
2024,3445.34692384
2025,3481.31209397
2026,3516.77256719
2027,3551.28124272
2028,3584.64118369
2029,3616.93336628
2030,3648.22928123
2031,3678.5828404
2032,3707.8349494
2033,3735.4320102
2034,3761.52860999
2035,3786.26171606
2036,3809.74974426
