year,total
2017,2842.82611083
2018,2874.5731551
2019,2906.41434196
2020,2938.35808736
2021,2969.47368723
2022,3000.29071115
2023,3031.48980657
2024,3063.08743244
2025,3095.10447505
2026,3127.56045716
2027,3160.25072407
2028,3193.43642303
2029,3227.15302533
2030,3261.43640575
2031,3296.30714645
2032,3331.80977865
2033,3366.52029504
2034,3400.52577751
2035,3433.9005048
2036,3466.70803315
