year,total
2017,3896.59100231
2018,3933.70710499
2019,3970.26670448
2020,4006.30270648
2021,4040.40671978
2022,4072.85355842
2023,4103.60750072
2024,4132.77208301
2025,4160.43840825
2026,4186.68802912
2027,4210.58687337
2028,4232.30918812
2029,4251.99950384
2030,4269.78452819
2031,4285.76702159
2032,4299.3850808
2033,4311.59779957
2034,4322.48777017
2035,4332.13133425
2036,4340.5928402
