age,men,women,total
0,28.1880138625,28.1880138625,56.3760277249
1,28.3106230281,28.3357332405,56.6463562686
2,28.6455361992,28.6720906688,57.317626868
3,28.980711705,29.0087375575,57.9894492625
4,29.1957482756,29.2251514131,58.4208996887
5,29.9398781837,29.971229922,59.9111081057
6,29.9756760604,30.0082657713,59.9839418317
7,30.0119163744,30.0457474721,60.0576638465
8,30.0485996105,30.0836755631,60.1322751737
9,24.9925116451,25.9139848354,50.9064964804
10,24.7492590421,24.46787952,49.2171385621
11,24.9398375164,24.6359200202,49.5757575367
12,24.9428312549,24.639370015,49.58220127
13,24.9458253528,24.642820493,49.5886458458
14,24.9488198101,24.6462714541,49.5950912642
15,23.4792928107,23.6838904851,47.1631832958
16,23.4689601653,23.6805743093,47.1495344747
17,23.4586320671,23.6772585979,47.135890665
18,23.448308514,23.6739433507,47.1222518647
19,23.437989504,23.6706285677,47.1086180717
20,22.9019677127,23.6533264745,46.5552941872
21,22.8861621939,23.6495414123,46.5357036062
22,22.8703675831,23.6457569559,46.5161245389
23,22.8545838727,23.641973105,46.4965569777
24,28.3345733806,28.3450448318,56.6796182124
25,32.7814253171,32.3628165931,65.1442419103
26,32.7679767291,32.3608742997,65.1288510288
27,32.7545336584,32.3589321229,65.1134657812
28,32.7410961027,32.3569900626,65.0980861653
29,32.7276640597,32.3550481189,65.0827121786
30,34.9927583922,35.6034960486,70.5962544407
31,34.9790990596,35.5956609289,70.5747599885
32,34.9654450589,35.5878275335,70.5532725924
33,34.951796388,35.5799958619,70.5317922499
34,34.9381530448,35.5721659139,70.5103189587
35,34.2605508633,35.8153800726,70.0759309359
36,34.2396305886,35.8024822795,70.0421128681
37,34.2187230883,35.7895891311,70.0083122194
38,34.1978283546,35.7767006258,69.9745289804
39,31.4905568595,32.4249301138,63.9154869733
40,28.0253395716,28.3085842948,56.3339238664
41,27.9998038268,28.2910238411,56.2908276679
42,27.9742913494,28.2734742805,56.2477656299
43,27.948802118,28.2559356064,56.2047377244
44,27.9233361116,28.2384078118,56.1617439234
45,25.2872090602,24.612119931,49.8993289912
46,25.2471900389,24.5889685638,49.8361586027
47,25.2072343509,24.5658389739,49.7730733248
48,25.1673418959,24.5427311409,49.7100730368
49,25.1275125739,24.5196450442,49.6471576181
50,24.1541086682,24.8722950908,49.026403759
51,24.0897177229,24.8366871157,48.9264048387
52,24.0254984335,24.8011301182,48.8266285517
53,23.9614503424,24.7656240252,48.7270743676
54,23.8975729931,24.7301687638,48.6277417569
55,28.395584659,26.4256359558,54.8212206148
56,28.2750845305,26.354964313,54.6300488435
57,28.155095759,26.2844816716,54.4395774306
58,28.0356161745,26.2141875261,54.2498037006
59,27.9166436161,26.1440813723,54.0607249885
60,23.6524511073,25.2202375597,48.872688667
61,23.5046158605,25.1104997024,48.6151155629
62,23.3577046304,25.0012393345,48.3589439649
63,23.2117116416,24.8924543785,48.10416602
64,23.0666311548,24.7841427656,47.8507739204
65,19.0879504365,21.4062962174,40.494246654
66,18.85390881,21.2540851326,40.1079939426
67,18.6227368202,21.1029563561,39.7256931763
68,18.3943992818,20.9529021922,39.347301474
69,18.168861441,20.8039149997,38.9727764407
70,12.9890451925,15.5684425673,28.5574877598
71,12.7301653115,15.3836134603,28.1137787718
72,12.4764450701,15.2009786511,27.6774237212
73,12.2277816336,15.0205120888,27.2482937224
74,18.0590098951,17.124293177,35.1833030721
75,12.2629356718,11.8295870397,24.0925227115
76,11.8733045595,11.5973316894,23.4706362489
77,11.4960532237,11.3696363079,22.8656895316
78,11.1307883211,11.1464113673,22.2771996884
79,10.7771290057,10.9275690976,21.7046981033
80,6.3315155985,7.15569765696,13.4872132555
81,5.67205077146,6.54156043423,12.2136112057
82,5.08127310965,5.98013149326,11.0614046029
83,4.55202843824,5.46688714967,10.0189155879
84,4.07790773206,4.99769196395,9.07559969602
85,2.07485840753,2.94392724029,5.01878564781
86,1.89787336132,2.72483594754,4.62270930886
87,1.73598510749,2.52204974342,4.25803485091
88,1.58790589238,2.33435517981,3.92226107219
89,1.45245780748,2.16062911516,3.61308692265
90,0.244137722421,0.569685078329,0.81382280075
91,0.244137722421,0.569685078329,0.81382280075
92,0.244137722421,0.569685078329,0.81382280075
93,0.244137722421,0.569685078329,0.81382280075
94,0.244137722421,0.569685078329,0.81382280075
95,0.244137722421,0.569685078329,0.81382280075
96,0.244137722421,0.569685078329,0.81382280075
97,0.244137722421,0.569685078329,0.81382280075
98,0.244137722421,0.569685078329,0.81382280075
99,0.244137722421,0.569685078329,0.81382280075
