year,total
2017,6017.32673866
2018,6087.13691654
2019,6156.33023582
2020,6224.93611055
2021,6290.80384604
2022,6354.9500344
2023,6417.63963692
2024,6478.95440698
2025,6538.97152894
2026,6597.76157737
2027,6654.55375761
2028,6709.42473663
2029,6762.50514187
2030,6813.91475571
2031,6863.74357274
2032,6911.75113806
2033,6957.16591288
2034,7000.17898826
2035,7040.96108413
2036,7079.65851598
