year,total
2017,2264.74793869
2018,2285.92091431
2019,2307.0234315
2020,2328.07168736
2021,2348.28642447
2022,2367.88244435
2023,2387.02357649
2024,2405.75793351
2025,2424.12943462
2026,2442.17760484
2027,2459.46465767
2028,2476.11401277
2029,2492.19667103
2030,2507.77590699
2031,2522.90089772
2032,2537.33755822
2033,2550.93459913
2034,2563.77561125
2035,2575.93417207
2036,2587.47319008
