year,total
2017,4023.62478406
2018,4077.34870642
2019,4130.39571262
2020,4182.78562276
2021,4232.92118841
2022,4281.61642276
2023,4328.57804925
2024,4373.86525157
2025,4417.53071024
2026,4459.62262632
2027,4499.60684204
2028,4537.28190682
2029,4572.73875466
2030,4606.05914826
2031,4637.30698319
2032,4666.31827614
2033,4693.22249205
2034,4718.13717423
2035,4741.17076147
2036,4762.41635874
