age,men,women,total
0,19.1280853688,19.1280853688,38.2561707375
1,19.0365710902,19.0534556477,38.0900267379
2,18.8824331459,19.9864638728,38.8688970187
3,18.6958447817,18.8683071971,37.5641519788
4,18.8375484916,18.995230878,37.8327793695
5,18.8375484916,18.995230878,37.8327793695
6,18.8403750283,18.9980809606,37.8384559889
7,18.8432019892,19.0009314709,37.8441334601
8,17.7338381443,18.2591708324,35.9930089767
9,17.7338381443,18.2591708324,35.9930089767
10,17.7338381443,18.2591708324,35.9930089767
11,17.7333060387,18.258988217,35.9922942556
12,17.732773949,18.2588056033,35.9915795524
13,17.3343377136,18.2478318432,35.5821695568
14,17.3343377136,18.2478318432,35.5821695568
15,17.3343377136,18.2478318432,35.5821695568
16,17.3272292134,18.2454592929,35.5726885063
17,16.278064533,16.5718065126,32.8498710456
18,18.8380356325,18.9213469975,37.75938263
19,18.8380356325,18.9213469975,37.75938263
20,18.8380356325,18.9213469975,37.75938263
21,18.832757763,18.9207792038,37.7535369668
22,18.8274813723,18.9202114271,37.7476927994
23,20.1331583078,20.8204260971,40.9535844048
24,20.1331583078,20.8204260971,40.9535844048
25,20.1331583078,20.8204260971,40.9535844048
26,20.1305386657,20.8198012968,40.9503399625
27,20.1279193645,20.8191765154,40.9470958799
28,19.7426901303,20.9655062356,40.7081963659
29,19.7426901303,20.9655062356,40.7081963659
30,19.7426901303,20.9655062356,40.7081963659
31,19.7375517897,20.9615214744,40.6990732642
32,22.7411465634,24.0363292893,46.7774758527
33,20.245808502,20.9884864875,41.2342949895
34,20.245808502,20.9884864875,41.2342949895
35,20.245808502,20.9884864875,41.2342949895
36,20.2387133873,20.9849165884,41.2236299757
37,20.231620759,20.9813472966,41.2129680556
38,18.3319194814,18.2952269327,36.6271464142
39,18.3319194814,18.2952269327,36.6271464142
40,18.3319194814,18.2952269327,36.6271464142
41,18.3216368458,18.286988396,36.6086252419
42,18.3113599779,18.2787535692,36.5901135471
43,17.6200159391,18.5507451876,36.1707611267
44,17.6200159391,18.5507451876,36.1707611267
45,17.6200159391,18.5507451876,36.1707611267
46,17.6020040769,18.5416449482,36.1436490251
47,17.5840106271,18.532549173,36.1165598001
48,20.9281134513,19.8217787732,40.7498922245
49,20.9281134513,19.8217787732,40.7498922245
50,20.9281134513,19.8217787732,40.7498922245
51,20.8936808165,19.8031158807,40.6967966972
52,20.8593048331,19.7844705599,40.6437753929
53,17.7192183532,19.118514233,36.8377325862
54,17.7192183532,19.118514233,36.8377325862
55,17.7192183532,19.118514233,36.8377325862
56,17.673101913,19.0853539815,36.7584558945
57,17.6271054964,19.0522512451,36.6793567415
58,14.6402114288,16.4988558103,31.1390672391
59,14.6402114288,16.4988558103,31.1390672391
60,14.6402114288,16.4988558103,31.1390672391
61,14.5866691064,16.4556078303,31.0422769367
62,12.8641314237,11.6870523662,24.5511837899
63,9.27676728677,8.78545593592,18.0622232227
64,9.27676728677,8.78545593592,18.0622232227
65,9.27676728677,8.78545593592,18.0622232227
66,9.19665687185,8.74591169719,17.942568569
67,9.11723825811,8.70654545115,17.8237837093
68,6.26239307664,6.05941076656,12.3218038432
69,6.26239307664,6.05941076656,12.3218038432
70,6.26239307664,6.05941076656,12.3218038432
71,6.19104297039,6.01454531086,12.2055882813
72,6.12050578623,5.97001205069,12.0905178369
73,3.67145533435,3.95810709999,7.62956243434
74,3.67145533435,3.95810709999,7.62956243434
75,3.67145533435,3.95810709999,7.62956243434
76,3.59577006415,3.90934167164,7.50511173579
77,3.52164500907,3.86117705245,7.38282206152
78,1.95892532382,2.4573330175,4.41625834132
79,1.95892532382,2.4573330175,4.41625834132
80,1.95892532382,2.4573330175,4.41625834132
81,1.79182934865,2.27445476557,4.06628411422
82,1.63898662988,2.10518657577,3.74417320565
83,0.275490593143,0.555066749261,0.830557342404
84,0.275490593143,0.555066749261,0.830557342404
85,0.275490593143,0.555066749261,0.830557342404
86,0.275490593143,0.555066749261,0.830557342404
87,0.275490593143,0.555066749261,0.830557342404
88,0.275490593143,0.555066749261,0.830557342404
89,0.275490593143,0.555066749261,0.830557342404
90,0.275490593143,0.555066749261,0.830557342404
91,0.275490593143,0.555066749261,0.830557342404
92,0.275490593143,0.555066749261,0.830557342404
93,0.275490593143,0.555066749261,0.830557342404
94,0.275490593143,0.555066749261,0.830557342404
95,0.275490593143,0.555066749261,0.830557342404
96,0.275490593143,0.555066749261,0.830557342404
97,0.275490593143,0.555066749261,0.830557342404
98,0.275490593143,0.555066749261,0.830557342404
99,0.275490593143,0.555066749261,0.830557342404
