year,total
2017,2562.13007757
2018,2583.10434863
2019,2603.82137902
2020,2624.30326421
2021,2643.68850279
2022,2662.07211815
2023,2679.67388459
2024,2696.56253411
2025,2712.79989913
2026,2728.44123698
2027,2742.84935425
2028,2756.29248812
2029,2768.86722936
2030,2780.65885158
2031,2791.73542722
2032,2801.7037737
2033,2811.00151222
2034,2819.67759582
2035,2827.77602466
2036,2835.33344178
