age,men,women,total
0,15.978034851,15.978034851,31.956069702
1,15.9724814969,15.9866483488,31.9591298457
2,16.1544737316,16.1694489612,32.3239226929
3,16.3334709704,16.3492662847,32.6827372551
4,16.5125735868,16.5292034559,33.0417770427
5,16.6917816122,16.7092605199,33.4010421321
6,16.9181534645,16.9365469689,33.8547004334
7,17.1073325447,17.1266168793,34.233949424
8,17.2967944595,17.3169851357,34.6137795952
9,17.4865393749,17.5076519387,34.9941913136
10,17.6765674565,17.6986174896,35.3751849461
11,17.9059750534,17.929387167,35.8353622204
12,18.4455476267,18.4707736346,36.9163212613
13,18.5527799556,18.5792675259,37.1320474815
14,18.6603882154,18.6881508627,37.3485390781
15,18.7683727556,18.7974240641,37.5657968197
16,16.5274001877,17.5015280204,34.0289282081
17,16.3593361781,16.5225580861,32.8818942643
18,16.4785488057,16.6338687217,33.1124175275
19,16.4737684969,16.634035107,33.1078036039
20,16.4689895747,16.634201494,33.1031910687
21,16.4595992458,16.6338687167,33.0934679625
22,15.4794111549,15.9817960369,31.4612071918
23,15.4682640838,15.9790787783,31.4473428622
24,15.4571250401,15.9763619817,31.4334870218
25,15.4459940178,15.9736456471,31.4196396648
26,15.4328626905,15.9704505026,31.4033131931
27,15.0737298924,15.9578190847,31.0315489771
28,15.0613669613,15.9547866745,31.0161536358
29,15.0490141699,15.9517548406,31.0007690104
30,15.0366715097,15.9487235828,30.9853950925
31,15.9466763606,16.3594403814,32.306116742
32,18.4421595899,18.6742007484,37.1163603383
33,18.4297958011,18.6695309373,37.0993267384
34,18.417440301,18.6648622941,37.0823025951
35,18.4050930842,18.6601948183,37.0652879025
36,18.3863084306,18.6523554198,37.0386638504
37,19.6468278418,20.5176610792,40.164488921
38,19.6322762383,20.5096567901,40.1419330284
39,19.6177354125,20.5016556236,40.1193910361
40,19.6032053566,20.4936575785,40.0968629351
41,19.5776984885,20.4764377402,40.0541362287
42,19.1805095083,20.6036504817,39.7841599901
43,19.1580453988,20.5869560157,39.7450014145
44,19.1356075992,20.5702750766,39.7058826757
45,19.1131960785,20.5536076535,39.666803732
46,21.8222123069,23.3742282464,45.1964405533
47,19.3901634337,20.3876735899,39.7778370236
48,19.3526924555,20.3650314983,39.7177239538
49,19.3152938888,20.3424145526,39.6577084414
50,19.277967594,20.3198227247,39.5977903186
51,19.2090570442,20.2781454159,39.48720246
52,17.3492352767,17.648786705,34.9980219818
53,17.2932795313,17.6155840762,34.9088636075
54,17.2375042575,17.5824439115,34.8199481689
55,17.1819088733,17.5493660932,34.7312749665
56,17.0819189993,17.4859691377,34.567888137
57,16.3505088042,17.6900220806,34.0405308848
58,16.2644802304,17.6340578116,33.898538042
59,16.1789042979,17.5782705914,33.7571748894
60,16.0937786251,17.5226598601,33.6164384853
61,15.9505522051,17.4214387206,33.3719909257
62,18.8343113567,18.5348283155,37.3691396722
63,18.6857969382,18.4368046434,37.1226015816
64,18.5384536021,18.3392993813,36.8777529835
65,18.3922721143,18.2423097875,36.6345819018
66,18.0896674907,18.0641568779,36.1538243686
67,15.1385973753,17.3019227108,32.4405200861
68,14.9140626848,17.1491000174,32.0631627022
69,14.6928582782,16.997627161,31.6904854392
70,14.4749347609,16.8474922189,31.3224269798
71,14.0977704557,16.5750419723,30.672812428
72,11.4335837692,14.1460586922,25.5796424614
73,11.1647236044,13.9414757403,25.1061993447
74,10.9021856733,13.7398515055,24.6420371787
75,10.6458213088,13.5411431981,24.1869645068
76,6.47513920861,6.74389486669,13.2190340753
77,4.48204056164,4.94765471676,9.4296952784
78,4.3021570614,4.82868262496,9.13083968637
79,4.12949305711,4.71257135501,8.84206441211
80,3.96375879944,4.5992521151,8.56301091454
81,3.48013798023,4.1546054108,7.63474339103
82,2.11704166695,2.62371155161,4.74075321856
83,1.87493116837,2.38077234804,4.25570351641
84,1.66050906839,2.16032778821,3.8208368566
85,1.47060884833,1.96029500946,3.43090385779
86,1.30242612097,1.77878400911,3.08121013008
87,0.699900755673,1.07811459582,1.7780153515
88,0.627001949122,0.985585490289,1.61258743941
89,0.561695984776,0.900997688402,1.46269367318
90,0.503192023175,0.823669628362,1.32686165154
91,0.45078159547,0.752978243362,1.20375983883
92,0.229359770935,0.443547377062,0.672907147997
93,0.209795424034,0.41053794432,0.620333368354
94,0.191899912378,0.379985120966,0.571885033343
95,0.175530884624,0.351706082599,0.527236967223
96,0.160558131971,0.325531610877,0.486089742848
97,0.0269875630491,0.0858317144481,0.112819277497
98,0.0269875630491,0.0858317144481,0.112819277497
99,0.0269875630491,0.0858317144481,0.112819277497
