age,men,women,total
0,18.0895721962,18.0895721962,36.1791443925
1,18.4922798101,18.5086816064,37.0009614165
2,18.5975513938,18.6147913613,37.2123427551
3,18.7031742338,18.7212611741,37.4244354078
4,18.8091485492,18.8280913068,37.637239856
5,16.5681135798,17.5299057125,34.0980192923
6,16.4068558074,16.5516659709,32.9585217784
7,16.5336907776,16.6655061774,33.199196955
8,16.5361716251,16.6680067034,33.2041783286
9,16.5386528449,16.6705076047,33.2091604495
10,16.5411344369,16.6730088812,33.2141433181
11,15.5668340956,16.0219657215,31.5887998171
12,15.5663670112,16.021805481,31.5881724922
13,15.5658999408,16.0216452421,31.5875451829
14,15.5654328844,16.0214850048,31.5869178892
15,15.564965842,16.0213247691,31.5862906111
16,15.2089984127,16.0096139498,31.2186123625
17,15.202761476,16.0075324085,31.2102938845
18,15.1965270969,16.005451138,31.2019782348
19,15.1902952744,16.003370138,31.1936654124
20,16.1204045508,16.4196002214,32.5400047722
21,18.6503544897,18.7469984137,37.3973529034
22,18.645129203,18.7464358518,37.3915650549
23,18.6399053803,18.7458733069,37.3857786872
24,18.6346830212,18.7453107788,37.3799938
25,18.6294621252,18.7447482676,37.3742103928
26,19.9188144297,20.6267216301,40.5455360598
27,19.9162226771,20.6261026428,40.5423253199
28,19.9136312618,20.625483674,40.5391149358
29,19.9110401837,20.6248647238,40.5359049075
30,19.9084494427,20.6242457922,40.5326952349
31,19.5223383407,20.7652579701,40.2875963109
32,19.5172573502,20.7613112687,40.2785686189
33,19.512177682,20.7573653174,40.2695429994
34,19.5070993359,20.7534201161,40.260519452
35,22.3150688753,23.6277018437,45.942770719
36,19.8595212395,20.6281644089,40.4876856484
37,19.8525614986,20.6246557965,40.477217295
38,19.8456041967,20.6211477808,40.4667519775
39,19.838649333,20.6176403618,40.4562896948
40,19.8316969066,20.6141335394,40.4458304461
41,17.9594681557,17.9669310793,35.926399235
42,17.9493944334,17.9588403778,35.9082348111
43,17.9393263615,17.9507533195,35.8900796811
44,17.929263937,17.942669903,35.87193384
45,17.9192071567,17.9345901265,35.8537972831
46,17.2250426952,18.1925316274,35.4175743225
47,17.2074345899,18.1836071129,35.3910417028
48,17.1898444843,18.1746869765,35.3645314607
49,17.1722723599,18.1657712159,35.3380435758
50,17.1547181985,18.156859829,35.3115780275
51,20.3835867788,19.4016697793,39.7852565581
52,20.3500500436,19.3834024339,39.7334524775
53,20.3165684857,19.3651522879,39.6817207736
54,20.2831420144,19.346919325,39.6300613394
55,20.2497705391,19.3287035291,39.5784740682
56,17.1566723491,18.6456922231,35.8023645723
57,17.1120200039,18.6133520614,35.7253720652
58,17.0674838718,18.5810679922,35.6485518641
59,17.0230636505,18.5488399185,35.571903569
60,16.9787590383,18.5166677429,35.4954267812
61,14.0501536103,15.9930193436,30.0431729539
62,13.9987692531,15.9510972983,29.9498665514
63,13.9475728192,15.9092851421,29.8568579613
64,13.8965636215,15.8675825869,29.7641462083
65,8.80576069013,8.09723885116,16.9029995413
66,6.29529945672,6.05950360832,12.354803065
67,6.24093579361,6.03222916076,12.2731649544
68,6.18704159313,6.00507747828,12.1921190714
69,6.1336128012,5.97804800832,12.1116608095
70,6.08064539873,5.95114020077,12.0317855995
71,4.129050474,4.11109120025,8.24014167426
72,4.08200644683,4.08065161013,8.16265805697
73,4.03549841227,4.05043740267,8.08593581493
74,3.9895202635,4.02044690906,8.00996717256
75,3.94406596333,3.99067847288,7.93474443622
76,2.31712129967,2.61321510237,4.93033640203
77,2.26935496842,2.58101926971,4.85037423813
78,2.22257331692,2.54922010231,4.77179341923
79,2.17675604646,2.51781271309,4.69456875955
80,2.1318832768,2.4867922752,4.61867555201
81,1.08471211988,1.46486329544,2.54957541532
82,0.992186372606,1.35584606543,2.34803243803
83,0.907553054804,1.25494205422,2.16249510903
84,0.830138943676,1.16154746443,1.99168640811
85,0.759328242199,1.07510343413,1.83443167633
86,0.127632394322,0.283468541539,0.411100935861
87,0.127632394322,0.283468541539,0.411100935861
88,0.127632394322,0.283468541539,0.411100935861
89,0.127632394322,0.283468541539,0.411100935861
90,0.127632394322,0.283468541539,0.411100935861
91,0.127632394322,0.283468541539,0.411100935861
92,0.127632394322,0.283468541539,0.411100935861
93,0.127632394322,0.283468541539,0.411100935861
94,0.127632394322,0.283468541539,0.411100935861
95,0.127632394322,0.283468541539,0.411100935861
96,0.127632394322,0.283468541539,0.411100935861
97,0.127632394322,0.283468541539,0.411100935861
98,0.127632394322,0.283468541539,0.411100935861
99,0.127632394322,0.283468541539,0.411100935861
