year,total
2017,7175.89540479
2018,7272.51995736
2019,7367.82809272
2020,7461.84955138
2021,7551.82451206
2022,7639.28302984
2023,7724.01941706
2024,7806.11625627
2025,7885.65013346
2026,7962.69177656
2027,8036.45983803
2028,8106.72584401
2029,8173.62381779
2030,8237.27732847
2031,8297.7800061
2032,8355.00000743
2033,8408.61069005
2034,8458.80321713
2035,8505.75408825
2036,8549.61499978
