age,men,women,total
0,43.512473874,43.512473874,87.024947748
1,42.0257025836,42.0629774367,84.0886800202
2,40.867115149,40.9049990469,81.7721141959
3,39.7093931042,39.7477941485,79.4571872527
4,39.3244361928,39.3640399664,78.6884761592
5,39.6135165082,39.6549980598,79.268514568
6,38.9499388609,38.992285437,77.9422242979
7,38.2872277277,38.3303872156,76.6176149433
8,37.6253840002,37.6693043892,75.2946883894
9,66.0648743992,76.0752055525,142.140079952
10,65.421863689,71.8299009491,137.251764638
11,65.9256363049,72.3232143347,138.24885064
12,65.9335499136,72.3333424206,138.266892334
13,65.9414644723,72.3434719248,138.284936397
14,65.949379981,72.3536028475,138.302982828
15,62.0648517664,69.5283588528,131.593210619
16,62.0375385883,69.5186236169,131.556162205
17,62.0102374302,69.5088897442,131.519127174
18,61.9829482865,69.4991572344,131.482105521
19,61.9556711522,69.4894260874,131.44509724
20,60.5387582457,69.4386326525,129.977390898
21,60.4969781465,69.4275209157,129.924499062
22,60.4552268813,69.4164109569,129.871637838
23,60.4135044303,69.405302776,129.818807206
24,27.6253162697,30.6913472238,58.3166634935
25,31.9608567947,35.0416958976,67.0025526923
26,31.9477448452,35.039592828,66.9873376732
27,31.9346382748,35.0374898846,66.9721281594
28,31.9215370814,35.0353870675,66.9569241488
29,31.9084412627,35.0332843765,66.9417256392
30,34.1168368674,38.5506273175,72.6674641848
31,34.1035194485,38.5421436343,72.6456630828
32,34.090207228,38.5336618182,72.6238690462
33,34.076900204,38.5251818686,72.6020820726
34,34.0635983743,38.5167037852,72.5803021594
35,33.4029575974,38.7800503503,72.1830079477
36,33.3825609887,38.7660849236,72.1486459123
37,33.3621768347,38.7521245261,72.1143013608
38,33.3418051277,38.738169156,72.0799742837
39,45.8817917126,52.4671290788,98.3489207914
40,40.8329645816,45.8064255195,86.639390101
41,40.7957589606,45.77801076,86.5737697206
42,40.7585872401,45.7496136268,86.5082008669
43,40.7214493893,45.721234109,86.4426834983
44,40.6843453772,45.6928721957,86.3772175729
45,36.843504047,39.8251366708,76.6686407177
46,36.7851962689,39.7876751939,76.5728714628
47,36.7269807675,39.7502489551,76.4772297226
48,36.6688573968,39.7128579212,76.3817153181
49,36.610826011,39.6755020593,76.2863280702
50,35.1925749633,40.2461289025,75.4387038659
51,35.0987572532,40.1885112541,75.2872685072
52,35.0051896458,40.1309760929,75.1361657387
53,34.9118714745,40.0735233009,74.9853947754
54,34.8188020744,40.0161527602,74.8349548346
55,41.3724122662,42.759606507,84.1320187732
56,41.1968433862,42.6452519597,83.8420953459
57,41.0220195542,42.5312032375,83.5532227917
58,40.8479376084,42.4174595226,83.265397131
59,40.6745944006,42.3040199993,82.9786143999
60,34.4616590948,40.8091383636,75.2707974583
61,34.2462629037,40.6315703533,74.877833257
62,34.0322130064,40.4547749738,74.4869879802
63,33.8195009882,40.2787488633,74.0982498516
64,33.608118487,40.1034886746,73.7116071615
65,27.8111743167,34.6377587492,62.4489330658
66,27.4701752925,34.3914643513,61.8616396438
67,27.1333573336,34.1469212483,61.2802785819
68,26.8006691749,33.9041169876,60.7047861625
69,26.4720601801,33.6630392048,60.135099385
70,18.9250596211,25.191464804,44.1165244251
71,18.5478712204,24.8923908328,43.4402620532
72,18.1782004229,24.5968674785,42.7750679014
73,17.8158973981,24.3048525881,42.1207499862
74,7.39382121719,7.78638524518,15.1802064624
75,5.02075996865,5.37889190699,10.3996518756
76,4.86123501121,5.27328581778,10.134520829
77,4.7067786514,5.16975313816,9.87653178956
78,4.5572298443,5.06825316,9.6254830043
79,4.4124326619,4.96874597439,9.38117863629
80,2.5922846624,3.2536828282,5.8459674906
81,2.32228287058,2.97443573986,5.29671861043
82,2.08040336357,2.71915501224,4.79955837581
83,1.86371703894,2.48578373421,4.34950077315
84,1.66959987764,2.27244152888,3.94204140651
85,0.849500177769,1.33859841044,2.18809858821
86,0.777037966533,1.23897799449,2.01601596102
87,0.710756768785,1.14677147295,1.85752824173
88,0.650129345195,1.06142709315,1.71155643834
89,0.594673429852,0.982434164652,1.5771075945
90,0.0999562369388,0.259034778396,0.358991015335
91,0.0999562369388,0.259034778396,0.358991015335
92,0.0999562369388,0.259034778396,0.358991015335
93,0.0999562369388,0.259034778396,0.358991015335
94,0.0999562369388,0.259034778396,0.358991015335
95,0.0999562369388,0.259034778396,0.358991015335
96,0.0999562369388,0.259034778396,0.358991015335
97,0.0999562369388,0.259034778396,0.358991015335
98,0.0999562369388,0.259034778396,0.358991015335
99,0.0999562369388,0.259034778396,0.358991015335
