unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,2076.94644063,2599.07709491,2935.24895241,3192.8780074,3445.01200256,3669.0230211,3871.39255998,4024.62533657,3995.21367313,3973.04748845,3952.15595038,3932.08073016,3912.73178243,3894.03950594,3887.42826976,3904.80429787,3918.64409509,3929.52692509,3937.96259582,3962.20773698
2,1395.03735498,1739.90952958,1958.82361628,2124.5375398,2286.15831645,2429.09651086,2557.31123162,2652.80896899,2628.04856482,2611.01232383,2596.22508646,2581.76624104,2567.64069196,2553.85254389,2551.27569004,2552.45238201,2553.23425856,2553.6615247,2553.78790683,2566.44804468
3,653.863301067,814.519254333,915.8655165,992.093287159,1066.66463641,1132.26944356,1190.65972248,1233.498059,1220.27514976,1213.56569164,1208.85985749,1203.69353744,1198.17684414,1192.39768364,1195.0159236,1199.09197446,1202.06743453,1204.12582777,1205.41798318,1217.33761432
4,2298.63599915,2881.30530161,3258.91914795,3549.86635955,3836.82114827,4092.72264155,4323.98713314,4499.79999843,4470.90501038,4456.47028419,4447.01655482,4436.28260603,4424.53799861,4411.99803204,4419.50857659,4454.51032276,4483.24618966,4506.77784419,4525.95940654,4568.88888515
5,7820.21672761,9848.40916096,11186.0177443,12231.1170032,13302.279839,14254.4870984,15122.2757435,15796.6311732,15749.1077769,15739.2337488,15722.641583,15700.4762476,15674.1285755,15644.6758806,15636.9750221,15595.6498118,15561.4525533,15532.9537734,15509.1465289,15488.8489674
6,2909.50439626,3689.24643042,4217.3080901,4639.30674079,5064.35650177,5439.69074663,5784.76342234,6057.44340074,6053.94090348,6049.15015781,6043.62067722,6037.66924532,6031.41979236,6024.96183189,6009.81556779,6000.16294523,5992.3104501,5985.91261557,5980.75554888,5963.07811095
7,1947.69644743,2424.51080687,2723.64773976,2947.08575918,3174.85007702,3377.00737227,3557.34331353,3690.89864695,3656.00255789,3638.72420529,3621.5498257,3603.19527759,3584.08246085,3564.53810887,3560.90711354,3514.5300948,3475.0596332,3441.21543271,3412.00519511,3391.62756668
8,1022.18251433,1292.74633314,1474.94579544,1620.36036318,1757.04587354,1882.34402616,1998.46698719,2090.89230124,2089.16201383,2079.87265667,2068.73713719,2059.90373237,2052.97732235,2047.64514171,2036.24302163,2048.75523459,2060.05539947,2070.36667141,2079.8762343,2089.78848259
9,900.441379075,1133.72439057,1287.76261541,1408.43408494,1528.66528477,1636.73873842,1735.58934973,1812.67403709,1807.28386807,1804.76575777,1802.12389346,1799.37293218,1796.53061467,1793.61222405,1795.30245061,1818.530377,1838.21831456,1854.96686113,1869.26650431,1889.46977817
10,2420.6382958,3001.5676254,3359.71282793,3622.95365869,3889.98339037,4122.82713017,4328.12039986,4475.78000229,4419.25109477,4394.73688873,4371.03263937,4345.36914241,4318.28687458,4290.21544951,4300.34214936,4246.24876236,4198.69646153,4156.46790203,4118.65384278,4109.10386717
11,1703.21842366,2119.05870295,2379.56608858,2574.0072694,2770.7257394,2943.52907057,3097.33619532,3210.41204222,3177.05441342,3162.005706,3146.53267309,3130.05667391,3112.85829466,3095.16113727,3099.86756431,3082.86692999,3067.28027722,3052.81262232,3039.27141275,3043.19239024
12,1794.96433423,2234.18972742,2510.03870601,2716.51601528,2922.40189394,3101.64484336,3260.96919404,3377.56330087,3340.4765618,3317.40601145,3295.97953307,3274.33209809,3252.62176847,3230.9718559,3228.40706042,3199.4440535,3174.83367484,3153.74484179,3135.55848172,3125.74589633
13,923.514395164,1141.31668919,1273.56541318,1369.43535927,1464.18286929,1545.09495175,1615.27504372,1663.62844967,1636.20474527,1624.9644502,1615.86909988,1605.64353619,1594.52499906,1582.70634435,1592.75648294,1587.6525029,1582.05093001,1576.0190151,1569.63470549,1585.41829942
14,2017.5729738,2503.01524884,2802.86221161,3023.55225232,3248.15926377,3444.03325937,3616.66714758,3740.89344412,3694.21579519,3676.24141771,3659.22532687,3640.04254384,3619.23458391,3597.23231581,3609.14983875,3567.99045847,3531.25238165,3498.10654859,3467.93985036,3464.51559547
15,1003.05899736,1248.87281445,1403.59793653,1519.75042075,1630.74166276,1727.25465561,1813.09117992,1875.6225579,1853.29973044,1833.12734371,1814.73444502,1797.47292007,1781.20913532,1765.83535418,1755.21060054,1737.82533943,1722.96788561,1710.16387538,1699.05377736,1689.80046816
16,683.533759463,850.678841925,955.597931685,1034.07548076,1114.57504239,1184.30458657,1246.03621487,1290.99821947,1276.77771133,1273.05937773,1266.20004027,1258.39342833,1249.80896077,1240.58386883,1246.56088194,1244.2907763,1241.81213321,1239.13748954,1236.3121829,1244.90613578
17,2480.72869197,3111.02475673,3520.52083599,3836.85445897,4143.29167066,4413.4808664,4657.2900642,4841.61518336,4806.01633213,4780.93440477,4757.53322151,4734.27151916,4711.14714512,4688.16106741,4682.35030084,4738.66306024,4784.49339418,4821.65726144,4851.63706666,4914.03618621
18,4563.16886859,5709.80856563,6446.48114051,7009.10821708,7577.99979588,8082.59752459,8536.90527329,8880.24113109,8818.1930365,8794.59889636,8770.24001591,8742.44992891,8712.06538656,8679.74748605,8690.11231759,8677.0615531,8663.2799493,8648.80660473,8633.75468689,8658.15123846
19,3735.27828653,4663.47236737,5256.68051457,5709.38787288,6123.76679266,6487.67050067,6814.17106153,7055.51402976,6979.71091381,6901.67602359,6843.60752264,6790.39053673,6741.13297451,6695.13711697,6666.47468694,6920.24149228,7133.27190752,7312.57918677,7463.85951567,7683.94079224
20,2645.2181596,3335.91659383,3795.77561189,4159.17114841,4485.16631413,4775.50250604,5041.35865394,5246.73732072,5216.8401673,5155.36358521,5105.47850264,5063.29249056,5027.4233338,4996.77312249,4938.66729965,4872.17445285,4816.16120802,4768.77452371,4728.55598167,4663.4519565
21,3249.26670726,4076.12505881,4615.17198495,5033.61998752,5415.49416014,5758.11539689,6069.51600571,6306.64860718,6260.36852391,6197.80953323,6148.06301698,6104.62580229,6066.40348771,6032.53061089,5993.1210874,6014.36547577,6032.42317412,6047.8131955,6060.95472944,6081.99345455
22,2925.6025315,3717.66329752,4258.33857256,4693.23244599,5136.23929581,5536.63541381,5906.91700492,6203.56312454,6216.71923254,6236.38732104,6253.80395171,6268.30249721,6280.34668709,6290.3027359,6302.94035974,6362.13146216,6412.18407254,6454.7007316,6490.97362852,6533.43940614
23,1466.55616644,1848.8894873,2102.56043345,2302.05693633,2497.09694326,2669.34770249,2826.20733506,2947.35972198,2934.51727893,2923.03020026,2910.50257073,2898.28504252,2886.32720534,2874.58807605,2867.13697782,2874.459648,2880.74933441,2886.16193384,2890.84463375,2898.93751288
24,1208.03359247,1521.51946231,1728.46846123,1890.35495436,2053.08982986,2197.9953071,2330.01003677,2432.34871225,2423.74062549,2419.55507615,2414.77057475,2409.51024033,2403.89372967,2398.01406109,2396.34148605,2396.61271971,2396.52948194,2396.13636472,2395.48789951,2398.03503523
25,6734.96552414,8601.20495435,9896.68554115,10952.2609697,12038.169798,13045.2508556,13985.9356904,14755.5387062,14850.3533871,14942.477983,15035.0544169,15119.3470499,15196.6064461,15267.8179604,15316.702672,15414.186571,15498.457207,15571.880002,15636.2965191,15669.1787265
26,1955.92628542,2435.8944328,2737.89856775,2964.2428626,3192.55468182,3393.44761365,3572.59053755,3704.92107429,3668.36116941,3649.14200595,3629.72850114,3609.47136161,3588.6877611,3567.62475842,3564.81655882,3528.10244433,3496.47473993,3468.98402451,3444.91135767,3433.96705395
27,2022.47770427,2543.92387031,2886.83304875,3154.52535805,3419.21077905,3654.92263062,3869.75801774,4035.9281252,4018.66788935,4005.72936004,3993.51541915,3981.62023693,3970.03087205,3958.73566192,3952.73193256,3969.32658017,3983.44995122,3995.50432395,4005.84145677,4025.34026129
28,2065.91775224,2572.89521938,2891.74383068,3130.48803051,3375.35471892,3589.7194768,3780.43090498,3920.94400733,3882.14583737,3868.6831835,3853.84662611,3836.68945721,3817.78905054,3797.60013146,3804.87014393,3766.29005931,3732.86349598,3703.61978943,3677.82549807,3670.72079821
