age,men,women,total
0,38.8007071268,38.8007071268,77.6014142535
1,38.1238488853,38.1576629748,76.2815118601
2,37.7391457346,37.7741299986,75.5132757333
3,37.5326422839,37.5689382971,75.101580581
4,37.2668351111,37.3043666676,74.5712017787
5,37.0016256314,37.0403721244,74.0419977558
6,36.7425262457,36.7824729113,73.524999157
7,36.4839463146,36.5250730436,73.0090193582
8,36.5613348059,36.6040131225,73.1653479285
9,37.2728768483,37.3178786624,74.5907555107
10,37.0965535841,37.1428284186,74.2393820027
11,36.9198852769,36.9681581327,73.8880434096
12,36.7439910488,36.7942418859,73.5382329347
13,50.0549756743,50.9507809292,101.005756603
14,49.5663023339,48.1070398455,97.6733421794
15,49.9479812464,48.4374293683,98.3854106147
16,49.9334916952,48.4379138782,98.3714055735
17,49.9190063473,48.4383983931,98.3574047404
18,49.9045252015,48.4388829127,98.3434081142
19,46.9458061018,46.5414024439,93.4872085457
20,46.9251464349,46.5348858004,93.4600322353
21,46.8913545849,46.5269738413,93.4183284262
22,46.8575870691,46.5190632273,93.3766502964
23,46.8238438701,46.5111539584,93.3349978285
24,45.7401739497,46.4757618462,92.2159357959
25,45.7086069162,46.4683246831,92.1769315993
26,45.6711183608,46.4594944652,92.130612826
27,45.6336605522,46.4506659253,92.0843264775
28,31.9968710133,31.4997927399,63.4966637531
29,37.0136703508,35.963655354,72.9773257048
30,36.9984854832,35.9614969519,72.9599824351
31,36.9736813674,35.9525041496,72.926185517
32,36.9488938806,35.9435135961,72.8924074767
33,36.9241230114,35.9345252909,72.8586483023
34,39.4693807055,39.534837323,79.0042180285
35,39.453973935,39.5261370487,78.9801109837
36,39.4247519868,39.5107172293,78.9354692161
37,39.395551682,39.4953034255,78.8908551075
38,39.3663730047,39.4798956348,78.8462686395
39,38.5893601226,39.7430667528,78.3324268754
40,38.5657965781,39.7287545257,78.2945511038
41,38.5206285247,39.6965636115,78.2171921362
42,38.4755133719,39.6643987806,78.1399121525
43,46.0498234798,47.2603680038,93.3101914837
44,40.9595184789,41.2420827955,82.2016012744
45,40.9221975463,41.2164994008,82.1386969471
46,40.8431164813,41.1707252839,82.0138417652
47,40.7641882383,41.1250020027,81.8891902411
48,40.6854125221,41.0793295008,81.7647420229
49,36.8068066034,35.7864866701,72.5932932736
50,36.748556902,35.7528241455,72.5013810475
51,36.6300333554,35.6855624255,72.3155957809
52,36.5118920777,35.6184272449,72.1303193226
53,36.394131836,35.5514183655,71.9455502016
54,34.9267162352,36.0287768927,70.9554931279
55,34.8336072614,35.9771969405,70.8108042019
56,34.6503294448,35.863379246,70.5137086909
57,34.4680159487,35.7499216259,70.2179375746
58,34.2866616991,35.6368229411,69.9234846402
59,40.6340810545,38.0139875052,78.6480685598
60,40.4616453731,37.9123244478,78.3739698209
61,40.1425926814,37.7118205534,77.8544132347
62,39.8260558196,37.512377048,77.3384328675
63,39.5120149496,37.3139883235,76.8260032731
64,33.3542293741,35.901083793,69.2553131671
65,33.1457549665,35.7448716241,68.8906265906
66,32.6541392872,35.4291478951,68.0832871823
67,32.1698152196,35.1162128591,67.2860280786
68,31.692674615,34.8060418844,66.4987164994
69,25.9996403429,29.9269908275,55.9266311704
70,25.6808529417,29.7141927005,55.3950456422
71,25.076968937,29.284460477,54.3614294141
72,24.4872852353,28.8609431215,53.3482283569
73,45.19566413,43.2503623369,88.4460264669
74,31.942564613,32.12641426,64.068978873
75,31.3059291094,31.7450083209,63.0509374303
76,30.0494879798,30.9816628046,61.0311507844
77,28.8434732185,30.2366728161,59.0801460345
78,27.6858609991,29.5095969751,57.1954579743
79,18.4124767563,20.1342888711,38.5467656273
80,17.8274558452,19.7389837518,37.5664395971
81,15.7886607235,17.9112778865,33.69993861
82,13.983027618,16.2528060998,30.2358337178
83,12.3838915022,14.7478983796,27.1317898818
84,6.65488420497,8.93864821098,15.593532416
85,5.96173862348,8.17148938868,14.1332280122
86,5.34078825716,7.47017191562,12.8109601728
87,4.78451354703,6.82904496287,11.6135585099
88,4.28617814065,6.24294268347,10.5291208241
89,2.18082735942,3.67745134313,5.85827870255
90,1.99480318082,3.4037701333,5.39857331412
91,1.82464683095,3.15045667212,4.97510350307
92,1.66900478689,2.91599516248,4.58499994937
93,1.52663898099,2.69898261507,4.22562159606
94,0.256606534013,0.711630752213,0.968237286225
95,0.256606534013,0.711630752213,0.968237286225
96,0.256606534013,0.711630752213,0.968237286225
97,0.256606534013,0.711630752213,0.968237286225
98,0.256606534013,0.711630752213,0.968237286225
99,0.256606534013,0.711630752213,0.968237286225
