year,total
2017,5750.10092269
2018,5797.60829719
2019,5843.87205928
2020,5888.93413164
2021,5931.08300478
2022,5970.63784351
2023,6008.580034
2024,6045.02485339
2025,6080.08245163
2026,6113.85255589
2027,6145.20687874
2028,6174.9258383
2029,6203.18709502
2030,6230.15389298
2031,6255.9561416
2032,6279.95124064
2033,6301.80263336
2034,6321.72766138
2035,6339.91677769
2036,6356.53106089
