age,men,women,total
0,35.8626168069,35.8626168069,71.7252336138
1,35.6899100221,35.7215653205,71.4114753426
2,35.7013838502,35.7344791049,71.4358629551
3,35.7135268037,35.7480636379,71.4615904415
4,35.7263390247,35.7623191424,71.4886581671
5,35.7398206558,35.7772458415,71.5170664973
6,36.2144233979,36.2537959073,72.4682193052
7,37.2854891339,37.3275194065,74.6130085404
8,37.4901212474,37.5338837432,75.0240049906
9,37.6957589458,37.7412713311,75.4370302769
10,37.9024031916,37.9496832558,75.8520864474
11,45.4217559504,46.5517301091,91.9734860595
12,44.9783154951,43.95351542,88.9318309151
13,45.3246652072,44.2553793682,89.5800445754
14,45.3301059081,44.2615768566,89.5916827647
15,45.335547262,44.2677752129,89.6033224749
16,45.3223957448,44.2682180147,89.5906137595
17,42.6353400641,42.5341136337,85.1694536977
18,42.6165773248,42.5281580835,85.1447354083
19,42.5978228425,42.5222033673,85.1200262098
20,42.5790766136,42.5162494848,85.0953260984
21,42.5484144659,42.5090207827,85.0574352485
22,41.5636931549,42.4766740464,84.0403672013
23,41.5350084697,42.4698768269,84.0048852966
24,41.5063435809,42.4630806952,83.9694242761
25,41.4776984748,42.4562856509,83.9339841258
26,30.263464997,29.9598438874,60.2233088844
27,35.0084830673,34.2054790304,69.2139620977
28,34.9941208282,34.2034261474,69.1975469756
29,34.9797644813,34.2013733876,69.1811378689
30,34.9654140241,34.199320751,69.1647347751
31,34.9419728976,34.1907686117,69.1327415093
32,37.3505968028,37.6163721121,74.9669689149
33,37.3360170941,37.6080940268,74.9441111209
34,37.3214430766,37.5998177633,74.9212608398
35,37.306874748,37.591543321,74.898418069
36,37.2792430685,37.5768782196,74.856121288
37,36.5434259258,37.8273639134,74.3707898392
38,36.5211116755,37.813741567,74.3348532425
39,36.4988110507,37.8001241263,74.298935177
40,36.4765240432,37.7865115895,74.2630356327
41,53.4445647005,55.1162389919,108.560803692
42,47.5368518277,48.097562247,95.6344140747
43,47.4935378506,48.0677262437,95.5612640943
44,47.4502633398,48.0379087483,95.4881720881
45,47.4070282592,48.0081097494,95.4151380087
46,47.3154154303,47.9547930229,95.2702084532
47,42.8047606536,41.7760850076,84.5808456613
48,42.7370187124,41.736788373,84.4738070855
49,42.6693839783,41.6975287028,84.3669126811
50,42.6018562814,41.6583059621,84.2601622436
51,42.464454339,41.5799342704,84.0443886095
52,40.7522826335,42.1382393141,82.8905219476
53,40.6436436423,42.0779128597,82.721556502
54,40.5352942651,42.0176727706,82.5529670357
55,40.4272337298,41.9575189231,82.3847526529
56,40.2145249204,41.8247818431,82.0393067635
57,47.6593574353,44.6147159925,92.2740734278
58,47.4571091363,44.4954002161,91.9525093524
59,47.2557191027,44.3764035329,91.6321226356
60,47.0551836922,44.2577250896,91.3129087818
61,46.6841388946,44.0236627796,90.7078016742
62,39.4086071998,42.3566945624,81.7653017622
63,39.1622910296,42.1723928526,81.3346838822
64,38.9175144128,41.9888930732,80.906407486
65,38.6742677268,41.8061917348,80.4804594616
66,38.1006535061,41.4369301834,79.5375836896
67,31.2565379863,35.6283726153,66.8849106015
68,30.8732945881,35.3750343828,66.2483289709
69,30.4947502229,35.1234975309,65.6182477537
70,30.1208472747,34.8737492507,64.9945965255
71,27.0952742644,25.4711238001,52.5663980645
72,19.1499022209,18.9199773286,38.0698795495
73,18.768232565,18.6953586811,37.4635912461
74,18.3941698267,18.4734067141,36.8675765408
75,18.0275623951,18.2540897689,36.281652164
76,17.3040390401,17.8151490247,35.1191880648
77,11.5080479753,12.1552102879,23.6632582632
78,11.1424019626,11.9165618368,23.0589637994
79,10.7883736461,11.6825988731,22.4709725192
80,10.4455938962,11.4532294044,21.8988233005
81,9.25100808068,10.392732328,19.6437404086
82,4.9713280793,6.29899771749,11.2703257968
83,4.4535348336,5.75838670377,10.2119215374
84,3.98967281935,5.26417359035,9.2538464097
85,3.57412477957,4.81237628089,8.38650106045
86,3.20185852784,4.39935444213,7.60121296997
87,1.62912050068,2.59147211858,4.22059261927
88,1.49015681717,2.39861104212,3.88876785929
89,1.36304671068,2.22010296393,3.5831496746
90,1.24677907324,2.05487971325,3.30165878649
91,1.1404290442,1.90195261415,3.04238165836
92,0.19169007733,0.501480803146,0.693170880475
93,0.19169007733,0.501480803146,0.693170880475
94,0.19169007733,0.501480803146,0.693170880475
95,0.19169007733,0.501480803146,0.693170880475
96,0.19169007733,0.501480803146,0.693170880475
97,0.19169007733,0.501480803146,0.693170880475
98,0.19169007733,0.501480803146,0.693170880475
99,0.19169007733,0.501480803146,0.693170880475
