age,men,women,total
0,32.6072255144,32.6072255144,65.2144510288
1,32.2189018039,32.2474784786,64.4663802825
2,32.0173669605,32.0470471241,64.0644140846
3,31.7880181108,31.8187587743,63.6067768851
4,31.559024066,31.5908072666,63.1498313325
5,31.3303848413,31.3631926577,62.693577499
6,31.1067672607,31.1405866999,62.2473539606
7,30.9085109344,30.9433527232,61.8518636576
8,31.281691681,31.318207031,62.599898712
9,30.8920257074,30.9293235313,61.8213492388
10,30.5027312068,30.5407808018,61.0435120086
11,30.11290506,30.1522777696,60.2651828296
12,39.9533544983,40.3067671632,80.2601216614
13,39.5633005838,38.0571056733,77.6204062571
14,39.8679526726,38.3184742594,78.186426932
15,39.8727383584,38.3238403483,78.1965787067
16,39.8611715629,38.324223694,78.1853952569
17,39.8496081228,38.3246070436,78.1742151664
18,37.4870208385,36.8233297852,74.3103506237
19,37.4705237448,36.8181738488,74.2886975936
20,37.4540339111,36.8130186342,74.2670525454
21,37.4270624215,36.8067596074,74.2338220289
22,37.4001103548,36.8005016447,74.2006119995
23,36.5345390718,36.7724987385,73.3070378103
24,36.5093251971,36.7666143149,73.275939512
25,36.4841287234,36.7607308329,73.2448595563
26,36.4542057532,36.7537453161,73.2079510693
27,29.6915239793,28.9520952631,58.6436192424
28,34.3468672399,33.0549214852,67.4017887251
29,34.3327764289,33.0529376543,67.3857140832
30,34.3186913987,33.0509539424,67.3696453411
31,34.2956838408,33.0426889724,67.3383728132
32,34.2726917075,33.0344260691,67.3071177766
33,36.6351806483,36.3441745823,72.9793552306
34,36.6208802005,36.3361764645,72.9570566649
35,36.6065853348,36.3281801067,72.9347654415
36,36.579472331,36.3140078648,72.8934801959
37,36.5523794088,36.2998411517,72.8522205605
38,35.8309090902,36.5418141769,72.3727232671
39,35.8090299189,36.5286547811,72.3376847001
40,35.7871641075,36.5155001244,72.3026642319
41,35.7452503735,36.4859128055,72.231163179
42,30.8919061414,31.0382043077,61.9301104492
43,27.4771433381,27.0857008938,54.5628442319
44,27.4521070913,27.0688990223,54.5210061136
45,27.4270936566,27.0521075733,54.47920123
46,27.3740915231,27.0220641113,54.3961556345
47,27.3211918149,26.9920540149,54.3132458298
48,24.7166185856,23.5142781769,48.2308967625
49,24.6775025691,23.4921594935,48.1696620626
50,24.6384484568,23.4700616161,48.1085100729
51,24.5589831243,23.4259074339,47.9848905582
52,24.4797740879,23.3818363188,47.8616104067
53,23.4927467682,23.6957905704,47.1885373386
54,23.4301189067,23.6618669169,47.0919858237
55,23.3676580011,23.6279918296,46.9956498307
56,23.2447085372,23.5532421608,46.7979506981
57,23.1224059748,23.4787289706,46.6011349454
58,27.4030095668,25.0448843659,52.4478939327
59,27.2867215518,24.9779053488,52.2646269006
60,27.1709270192,24.9111054577,52.0820324769
61,26.9566757864,24.7793600759,51.7360358623
62,26.7441139913,24.6483114454,51.3924254368
63,22.5761534463,23.7149962874,46.2911497336
64,22.4350453978,23.6118080096,46.0468534074
65,22.294819319,23.5090687229,45.8038880418
66,21.9641440106,23.3014201706,45.2655641812
67,21.6383732568,23.0956057158,44.7339789726
68,17.7514182415,19.8581034496,37.6095216911
69,17.533764135,19.7169009063,37.2506650412
70,17.3187787341,19.5767023942,36.8954811283
71,16.9115284966,19.2935804554,36.2051089521
72,16.5138547287,19.0145530792,35.5284078078
73,11.6713601146,14.124029862,25.7953899767
74,11.4387425301,13.9563488743,25.3950914044
75,11.2107611611,13.7906586013,25.0014197624
76,10.7608252602,13.4590462324,24.2198714926
77,13.0568407168,12.713083221,25.7699239378
78,8.68344951296,8.6740896607,17.3575391737
79,8.40754966461,8.50378754227,16.9113372069
80,8.14041600142,8.3368290383,16.4772450397
81,7.20945644239,7.56489105387,14.7743474963
82,6.38496388706,6.86442967633,13.2493935634
83,3.43116663398,4.16050615936,7.59167279333
84,3.07379031931,3.80343102561,6.87722134492
85,2.7536368632,3.47700183884,6.23063870204
86,2.46682928459,3.17858841291,5.6454176975
87,2.20989441296,2.90578629721,5.11568071017
88,1.12440454854,1.71167480839,2.83607935694
89,1.02849304429,1.58428951116,2.61278255546
90,0.940762773974,1.46638441068,2.40714718465
91,0.860515879818,1.35725397709,2.2177698569
92,0.787114031193,1.25624518707,2.04335921827
93,0.132302794526,0.3312295168,0.463532311326
94,0.132302794526,0.3312295168,0.463532311326
95,0.132302794526,0.3312295168,0.463532311326
96,0.132302794526,0.3312295168,0.463532311326
97,0.132302794526,0.3312295168,0.463532311326
98,0.132302794526,0.3312295168,0.463532311326
99,0.132302794526,0.3312295168,0.463532311326
