year,total
2017,4245.26755111
2018,4293.25260149
2019,4341.25546726
2020,4389.29739366
2021,4435.83729666
2022,4481.59976842
2023,4526.70253163
2024,4571.20675745
2025,4615.1691016
2026,4658.64112393
2027,4701.07477975
2028,4742.43146918
2029,4782.80702977
2030,4822.28786624
2031,4860.93778882
2032,4898.58211684
2033,4934.4871799
2034,4968.79954703
2035,5001.64883077
2036,5033.14649211
