age,men,women,total
0,32.8661618327,32.8661618327,65.7323236655
1,32.5476973011,32.5765656022,65.1242629033
2,32.473197498,32.5033002174,64.9764977154
3,32.205271185,32.2364153539,64.4416865389
4,32.0673143144,32.0996094158,64.1669237303
5,31.9224580149,31.9558858246,63.8783438395
6,31.7826295496,31.8171837897,63.5998133393
7,31.6430181948,31.678687961,63.3217061558
8,31.7331632549,31.7702056111,63.503368866
9,31.7534078364,31.7917456594,63.5451534958
10,31.7742085149,31.813844171,63.5880526859
11,31.7946116211,31.8361831669,63.630794788
12,31.8155702579,31.8590810197,63.6746512776
13,32.166431481,32.2123550902,64.3787865712
14,33.0569174877,33.1060990766,66.1630165643
15,33.1744364405,33.2257866987,66.4002231392
16,33.279112404,33.3419640181,66.621076422
17,33.3845067699,33.4589365447,66.8434433145
18,38.1725589315,40.4166761723,78.5892351038
19,37.7843893926,38.1559186676,75.9403080602
20,38.059729192,38.4129708466,76.4727000386
21,38.038028202,38.412202372,76.450230574
22,38.0163395856,38.4114339128,76.4277734984
23,37.9946633356,38.410665469,76.4053288046
24,35.7320373771,36.9049095926,72.6369469697
25,35.7063059359,36.8986349422,72.6049408781
26,35.6759504154,36.8912542558,72.5672046711
27,35.6456207015,36.8838750456,72.5294957471
28,35.6153167722,36.8764973115,72.4918140837
29,34.7865250811,36.8473307925,71.6338558736
30,34.7579944244,36.8403288193,71.5983232438
31,34.7204482812,36.8263275342,71.5467758154
32,34.682942696,36.8123315703,71.4952742663
33,26.5295653885,27.2352625571,53.7648279456
34,30.6811568556,31.0888849843,61.7700418399
35,30.6605879335,31.081110664,61.7416985975
36,30.6292950451,31.068053072,61.6973481171
37,30.598034095,31.0550009656,61.6530350606
38,30.5668050505,31.0419543426,61.6087593931
39,32.6623889057,34.1462664689,66.8086553747
40,32.6381972073,34.1329454287,66.771142636
41,32.5957297549,34.1042651504,66.6999949054
42,32.5533175594,34.0756089709,66.6289265303
43,32.5109605488,34.0469768697,66.5579374185
44,31.8513837721,34.258498489,66.1098822611
45,31.8140796029,34.2307399449,66.0448195478
46,31.7443356297,34.1862252932,65.9305609228
47,31.6747445518,34.1417685295,65.8165130813
48,42.9173076208,46.0775223653,88.9948299861
49,38.1342458409,40.190139153,78.3243849939
50,38.0605524188,40.1455048887,78.2060573075
51,37.9245021023,40.0631637863,77.9876658886
52,37.7889381078,39.980991571,77.7699296789
53,37.6538586972,39.8989878964,77.5528465935
54,34.0082104037,34.7254994325,68.7337098361
55,33.8985251792,34.6601704165,68.5586955958
56,33.7012531946,34.5349608067,68.2362140013
57,33.5051292315,34.4102035156,67.9153327471
58,33.310146609,34.2858969094,67.5960435184
59,31.8838794063,34.6859970187,66.569876425
60,31.7161216499,34.5762641727,66.2923858226
61,31.4338643462,34.3765314331,65.8103957793
62,31.1541189884,34.1779524667,65.3320714551
63,30.8768632217,33.9805206087,64.8573838304
64,36.4592051836,36.1521872936,72.6113924772
65,36.1717129809,35.9609920965,72.1327050774
66,35.5765865321,35.6097999804,71.1863865125
67,34.9912515878,35.2620375779,70.2532891657
68,34.4155470502,34.9176713946,69.3332184448
69,28.8011435539,33.4442872588,62.2454308126
70,28.3739668681,33.1488839014,61.5228507695
71,27.6346441922,32.6128147062,60.2474588984
72,26.9145855841,32.0854145867,59.0000001708
73,26.2132890919,31.5665433503,57.7798324422
74,21.2595202653,26.9406361498,48.2001564151
75,20.7596036829,26.551015621,47.3106193039
76,19.8535566616,25.8446418098,45.6981984714
77,18.9870538057,25.1570606493,44.144114455
78,14.8304997417,16.0895398704,30.9200396121
79,10.2655555734,11.804081974,22.0696375474
80,9.85355482443,11.5202391425,21.3737939669
81,8.65131611682,10.4064849409,19.0578010577
82,7.59576334498,9.40040631841,16.9961696634
83,6.66899926137,8.49159341059,15.160592672
84,4.05689354657,5.36260114258,9.41949468915
85,3.59293644333,4.86605797272,8.45899441605
86,3.18203870465,4.41549158035,7.597530285
87,2.8181323209,4.00664480478,6.82477712568
88,2.49584323613,3.63565467164,6.13149790776
89,1.34122200014,2.20355723168,3.54477923182
90,1.20152578988,2.01443709507,3.21596288495
91,1.0763797668,1.84154818022,2.91792794702
92,0.964268442787,1.68349744371,2.64776588649
93,0.86383417678,1.53901139998,2.40284557676
94,0.439522844106,0.906565994102,1.34608883821
95,0.402031625144,0.839098050978,1.24112967612
96,0.367738400367,0.776651169067,1.14438956943
97,0.336370381449,0.718851673783,1.05522205523
98,0.307678048861,0.665353699938,0.973031748799
99,0.0517163512088,0.175431346364,0.227147697572
