year,total
2017,4603.43611653
2018,4649.51960281
2019,4695.96220976
2020,4742.7848677
2021,4788.51098487
2022,4833.86140507
2023,4879.87604383
2024,4926.6010798
2025,4974.08718971
2026,5022.38138834
2027,5071.02355311
2028,5120.36837508
2029,5170.50622692
2030,5221.52392029
2031,5273.48064567
2032,5326.2852369
2033,5376.84864786
2034,5425.51626928
2035,5472.58491172
2036,5518.31054517
