age,men,women,total
0,31.8510491096,31.8510491096,63.7020982192
1,30.7144586794,30.7417009827,61.4561596621
2,30.4157831389,30.443978631,60.8597617699
3,30.6384477559,30.6680767252,61.3065244811
4,30.1197406788,30.1500743722,60.2698150511
5,29.6018585279,29.6328563066,59.2347148345
6,29.0891657728,29.1207916651,58.2099574379
7,51.1146744653,58.8550009833,109.969675449
8,50.6171743425,55.5706535432,106.187827886
9,51.0084758737,55.9528612727,106.961337146
10,51.0161295943,55.9612565526,106.977386147
11,51.0222534895,55.9690933228,106.991346812
12,51.0283781198,55.9769311905,107.00530931
13,48.022721742,53.7911590593,101.813880801
14,48.0212808153,53.7906210778,101.811901893
15,48.019839932,53.7900831017,101.809923034
16,47.9987076099,53.7825515109,101.781259121
17,47.9775845876,53.7750209747,101.752605562
18,46.8803475219,53.7357140157,100.616061538
19,46.8611227344,53.7287273948,100.589850129
20,46.8419058307,53.7217416822,100.563647513
21,46.8095784502,53.713145,100.52272345
22,21.3871789535,23.7328243274,45.1200032809
23,24.7437009264,27.0968363431,51.8405372695
24,24.7367684614,27.0960232184,51.8327916798
25,24.7298379386,27.0952101182,51.8250480568
26,24.7196925163,27.0935839665,51.8132764828
27,24.7095512562,27.0919579124,51.8015091687
28,26.4197088894,29.8119914067,56.2317002961
29,26.4162712678,29.8110967786,56.2273680464
30,26.4128340934,29.8102021773,56.2230362707
31,26.402523912,29.8036419648,56.2061658768
32,26.3922177552,29.7970831959,56.1893009512
33,25.8803582902,30.0008119354,55.8811702256
34,25.8736225266,29.9951098995,55.868732426
35,25.866888516,29.9894089473,55.8562974633
36,25.8510936032,29.9786091961,55.8297027993
37,35.5797632901,40.6099602522,76.1897235423
38,31.6645701926,35.4545246195,67.1190948121
39,31.6534733891,35.4484942145,67.1019676037
40,31.6423804745,35.4424648352,67.0848453097
41,31.613549004,35.4204790744,67.0340280784
42,31.5847438038,35.3985069519,66.9832507557
43,28.6029583459,30.8527415668,59.4556999128
44,28.5869145379,30.8388482468,59.4257627846
45,28.570879729,30.824961183,59.3958409119
46,28.5256640374,30.7959657126,59.32162975
47,28.4805199033,30.7669975168,59.2475174201
48,27.3772252883,31.2094991553,58.5867244435
49,27.349239229,31.1941890472,58.5434282762
50,27.3212817782,31.1788864496,58.5001682277
51,27.2484476619,31.1342497561,58.382697418
52,27.1758077097,31.089676966,58.2654846756
53,32.2908501512,33.2211435083,65.5119936595
54,32.2377226176,33.1898646488,65.4275872664
55,32.1846824937,33.1586152395,65.3432977332
56,32.0481028661,33.0699371916,65.1180400577
57,31.9121028309,32.9814963007,64.8935991316
58,27.037614633,31.8160412649,58.8536558979
59,26.9672459228,31.7608576918,58.7281036146
60,26.8970603559,31.7057698322,58.6028301881
61,26.7289452824,31.5678122401,58.2967575224
62,26.5618809808,31.4304549267,57.9923359075
63,21.9803171196,27.1467782756,49.1270953952
64,21.899930492,27.0756192003,48.9755496922
65,21.8198378551,27.0046466522,48.8244845072
66,21.5522999463,26.812628074,48.3649280203
67,21.2880423797,26.6219748584,47.9100172381
68,15.2189693024,19.9223408967,35.1413101991
69,15.0875444312,19.8326683959,34.9202128272
70,14.9572544922,19.7433995203,34.7006540124
71,14.6591469557,19.509005175,34.1681521307
72,6.04045557789,6.20551420382,12.2459697817
73,4.10175965404,4.28681462304,8.38857427708
74,4.05502656279,4.25507393092,8.31010049371
75,4.00882592151,4.22356825515,8.23239417666
76,3.88145321528,4.14064513016,8.02209834544
77,3.75812753096,4.0593500704,7.81747760136
78,2.20788329348,2.65818330939,4.86606660287
79,2.16236885073,2.62543345083,4.78780230156
80,2.11779266613,2.59308708333,4.71087974946
81,1.89721202433,2.37053557599,4.26774760032
82,1.69960616203,2.16708453532,3.86669069735
83,0.864767514735,1.27653709783,2.14130461257
84,0.791003002422,1.18153537388,1.97253837631
85,0.723530589643,1.09360381466,1.8171344043
86,0.661813561448,1.01221624834,1.67402980979
87,0.605360984576,0.936885661581,1.54224664616
88,0.101752664522,0.24702517325,0.348777837772
89,0.101752664522,0.24702517325,0.348777837772
90,0.101752664522,0.24702517325,0.348777837772
91,0.101752664522,0.24702517325,0.348777837772
92,0.101752664522,0.24702517325,0.348777837772
93,0.101752664522,0.24702517325,0.348777837772
94,0.101752664522,0.24702517325,0.348777837772
95,0.101752664522,0.24702517325,0.348777837772
96,0.101752664522,0.24702517325,0.348777837772
97,0.101752664522,0.24702517325,0.348777837772
98,0.101752664522,0.24702517325,0.348777837772
99,0.101752664522,0.24702517325,0.348777837772
