age,men,women,total
0,24.4135426906,24.4135426906,48.8270853812
1,23.4902625942,23.5110973699,47.0013599641
2,22.7508362673,22.7719263382,45.5227626055
3,22.1945932738,22.2160565976,44.4106498714
4,21.6147225102,21.6364907709,43.2512132811
5,21.035285621,21.0573128572,42.0925984782
6,20.4593520709,20.4815955849,40.9409476558
7,19.8836792967,19.9060932835,39.7897725802
8,19.6960655101,19.7190568731,39.4151223832
9,19.8458270915,19.8697881672,39.7156152587
10,19.5154953626,19.5398393038,39.0553346665
11,19.1850237305,19.210108204,38.3951319344
12,18.8550080968,18.8807940802,37.735802177
13,33.0855602681,38.1071592455,71.1927195136
14,32.7625547919,35.980265558,68.7428203499
15,33.0148386157,36.2273708218,69.2422094375
16,33.0052612477,36.2277331969,69.2329944447
17,32.9956866581,36.2280955757,69.2237822339
18,32.986114846,36.2284579582,69.2145728042
19,31.0304475467,34.8092924602,65.8397400069
20,31.0167918283,34.8044185256,65.821210354
21,30.9944559411,34.7985010052,65.7929569463
22,30.9721361385,34.7925844909,65.7647206294
23,30.9498324088,34.7866689825,65.7365013913
24,30.2335434489,34.7601984784,64.9937419274
25,30.2126781309,34.754636068,64.9673141988
26,30.187898779,34.7480317625,64.9359305415
27,30.1631397502,34.741428712,64.9045684622
28,13.7832849774,15.3538542095,29.1371391869
29,15.9443705071,17.5296620428,33.4740325499
30,15.9378293251,17.528609979,33.4664393041
31,15.9271444617,17.524226643,33.4513711047
32,15.9164667615,17.5198444031,33.4363111646
33,15.9057962198,17.5154632591,33.4212594789
34,17.002216308,19.2703530931,36.272569401
35,16.9955795369,19.2661123431,36.26169188
36,16.9829916047,19.2585963045,36.2415879093
37,16.970412996,19.251083198,36.221496194
38,16.9578437037,19.2435730225,36.2014167262
39,16.6231300381,19.3718497706,35.9949798087
40,16.6129795753,19.3648736025,35.9778531778
41,16.593522543,19.349182877,35.94270542
42,16.5740882987,19.3335048651,35.9075931638
43,22.8597943591,26.2481241429,49.107918502
44,20.3328937816,22.905604735,43.2384985166
45,20.3143671341,22.8913958715,43.2057630056
46,20.2751101566,22.8659732023,43.1410833589
47,20.2359290422,22.8405787669,43.0765078091
48,20.1968236442,22.815212534,43.0120361783
49,18.2714279098,19.8755994595,38.1470273693
50,18.2425119206,19.8569034958,38.0994154164
51,18.1836751283,19.8195467411,38.0032218694
52,18.1250280997,19.7822602656,37.9072883652
53,18.0665702229,19.745043937,37.8116141599
54,17.338124024,20.0101659919,37.3482900159
55,17.2919033909,19.9815187967,37.2734221876
56,17.2009216481,19.9183051337,37.1192267818
57,17.1104186078,19.8552914539,36.9657100617
58,17.0203917512,19.7924771246,36.8128688758
59,20.1713419658,21.1127400261,41.2840819919
60,20.0857424147,21.0562769755,41.1420193902
61,19.927360072,20.9449183184,40.8722783905
62,19.7702266235,20.8341485951,40.6043752186
63,19.6143322212,20.7239646907,40.3382969119
64,16.557518941,19.9392460123,36.4967649534
65,16.4540292482,19.8524867133,36.3065159615
66,16.2099841578,19.6771356531,35.8871198109
67,15.9695587283,19.5033334162,35.4728921445
68,15.7326992731,19.3310663224,35.0637655955
69,12.9065952209,16.6212707104,29.5278659313
70,12.7483445723,16.5030839105,29.2514284828
71,12.4485678713,16.2644132182,28.7129810895
72,12.1558404048,16.0291942262,28.185034631
73,11.8699964105,15.7973770153,27.6673734258
74,8.38925889455,11.7343081259,20.1235670204
75,8.22205566195,11.5949980001,19.817053662
76,7.89206932397,11.3161828351,19.208252159
77,7.57532675223,11.0440721038,18.619398856
78,3.06471016425,3.47825445285,6.54296461709
79,2.03818493005,2.3732001484,4.41138507845
80,1.9734255378,2.32660609317,4.30003163097
81,1.74773936056,2.11117698819,3.85891634875
82,1.54786325299,1.91569526468,3.46355851766
83,1.37084550706,1.73831392045,3.10915942752
84,0.736668123325,1.05358582052,1.79025394384
85,0.6599397778,0.963161895315,1.62310167311
86,0.591203143631,0.880498596809,1.47170174044
87,0.529625836777,0.804929869791,1.33455570657
88,0.474462170919,0.735846823185,1.2103089941
89,0.241408557786,0.4334559879,0.674864545686
90,0.22081645155,0.401197570831,0.622014022381
91,0.201980848244,0.371339871484,0.573320719728
92,0.184751918487,0.343704224999,0.528456143486
93,0.168992613317,0.31812526301,0.487117876327
94,0.0284052806964,0.0838789101305,0.112284190827
95,0.0284052806964,0.0838789101305,0.112284190827
96,0.0284052806964,0.0838789101305,0.112284190827
97,0.0284052806964,0.0838789101305,0.112284190827
98,0.0284052806964,0.0838789101305,0.112284190827
99,0.0284052806964,0.0838789101305,0.112284190827
