year,total
2017,3468.40315161
2018,3507.11336156
2019,3545.93473182
2020,3584.87753753
2021,3622.80716213
2022,3660.3688106
2023,3698.39487287
2024,3736.90542122
2025,3775.92594548
2026,3815.48027232
2027,3855.31850475
2028,3895.76100617
2029,3936.85105561
2030,3978.63243914
2031,4021.13029169
2032,4064.39866624
2033,4106.70089796
2034,4148.14317664
2035,4188.81607905
2036,4228.79710191
